上海市场（0）,,,深圳市场（1）,
122072,11大连港,,002637,赞宇科技
122073,11云维债,,002638,勤上光电
122074,11士兰微,,002639,雪人股份
122075,11柳钢债,,002640,百圆裤业
122076,11康恩贝,,002641,永高股份
122077,11西钢债,,002642,荣之联  
122078,11东阳光,,002643,烟台万润
122079,11上港02,,002644,佛慈制药
122080,11康美债,,002645,华宏科技
122081,11星湖债,,002646,青青稞酒
122082,11发展债,,002647,宏磊股份
122083,天债暂停,,002648,卫星石化
122084,11湘电债,,002649,博彦科技
122085,11深高速,,002650,加加食品
122086,11正泰债,,002651,利君股份
122087,11凌钢债,,002652,扬子新材
122088,11综艺债,,002653,海思科  
122089,11马钢01,,002654,万润科技
122090,11马钢02,,002655,共达电声
122091,11重机债,,002656,卡奴迪路
122093,11中孚债,,002657,中科金财
122094,11海正债,,002658,雪迪龙  
122095,11杭钢债,,002659,中泰桥梁
122096,11健康元,,002660,茂硕电源
122097,11浦路桥,,002661,克明面业
122098,11八钢债,,002662,京威股份
122099,11连港02,,002663,普邦园林
122100,11华仪债,,002664,信质电机
122102,11广汇01,,002665,首航节能
122103,11航机01,,002666,德联集团
122105,11安钢02,,002667,鞍重股份
122106,11唐新01,,002668,奥马电器
122107,11安钢01,,002669,康达新材
122108,11新天01,,002670,华声股份
122109,11新天02,,002671,龙泉股份
122110,11众和债,,002672,东江环保
122111,11永泰债,,002673,西部证券
122112,11沪大众,,002674,兴业科技
122113,11新钢债,,002675,东诚生化
122114,11一重债,,002676,顺威股份
122115,11华锐01,,002677,浙江美大
122116,11华锐02,,002678,珠江钢琴
122117,11闽高速,,002679,福建金森
122118,12兴发01,,002680,黄海机械
122119,12兴发02,,002681,奋达科技
122121,11日照港,,002682,龙洲股份
122122,11精工债,,002683,宏大爆破
122123,11中化01,,002684,猛狮科技
122124,11中化02,,002685,华东重机
122125,11美兰债,,002686,亿利达  
122126,11庞大02,,002687,乔治白  
122127,11欧亚债,,002688,金河生物
122128,11武钢债,,002689,博林特  
122129,12酒钢债,,002690,美亚光电
122130,11航民01,,002691,石中装备
122131,11片仔癀,,002692,远程电缆
122132,12鹏博债,,002693,双成药业
122133,11柳化债,,002694,顾地科技
122134,11华微债,,002695,煌上煌  
122135,12宝泰隆,,002696,百洋股份
122136,11复星债,,002697,红旗连锁
122138,11桂东01,,002698,博实股份
122139,11洪水业,,002699,美盛文化
122140,12宁港01,,002700,新疆浩源
122141,12天士01,,002701,奥瑞金  
122142,11鹿港债,,002702,海欣食品
122143,12亿利01,,002703,浙江世宝
122144,12鲁信债,,002705,新宝股份
122145,11桂东02,,002706,良信电器
122146,12华新01,,002707,众信旅游
122147,12华新02,,002708,光洋股份
122148,11吉高速,,002709,天赐材料
122149,12石化01,,002711,欧浦钢网
122150,12石化02,,002712,思美传媒
122151,12国电01,,002713,东易日盛
122152,12国电02,,002714,牧原股份
122153,12京能01,,002715,登云股份
122154,12京能02,,002716,金贵银业
122155,12天富债,,002717,岭南园林
122156,12厦工债,,002718,友邦吊顶
122157,12广控01,,002719,麦趣尔  
122158,12西钢债,,002721,金一文化
122159,12亿利02,,002722,金轮股份
122161,12申通02,,002723,金莱特  
122162,12中孚债,,002725,跃岭股份
122163,12鄂资债,,100213,国债0213
122164,12通威发,,100303,国债0303
122165,12国电03,,100501,国债0501
122166,12国电04,,100504,国债0504
122167,12兖煤01,,100512,国债0512
122168,12兖煤02,,100603,国债0603
122169,12金瑞债,,100609,国债0609
122170,12江药债,,100616,国债0616
122171,12中海01,,100619,国债0619
122172,12中海02,,100703,国债0703
122173,12中交01,,100706,国债0706
122174,12中交02,,100707,国债0707
122175,12中交03,,100710,国债0710
122176,12中储债,,100713,国债0713
122177,12科环01,,100714,国债0714
122178,12科环02,,100718,国债0718
122179,12科环03,,100801,国债0801
122180,12旋风债,,100802,国债0802
122181,12山鹰债,,100803,国债0803
122182,12九州通,,100806,国债0806
122183,12集优01,,100807,国债0807
122184,12一重01,,100810,国债0810
122185,12力帆01,,100813,国债0813
122186,12力帆02,,100814,国债0814
122187,12玻纤债,,100818,国债0818
122188,12华新03,,100820,国债0820
122189,12王府01,,100822,国债0822
122190,12王府02,,100823,国债0823
122191,12桂冠01,,100825,国债0825
122192,12桂冠02,,100901,国债0901
122193,12中水01,,100902,国债0902
122194,12中水02,,100903,国债0903
122195,12中海03,,100905,国债0905
122196,12中海04,,100906,国债0906
122197,12华天成,,100907,国债0907
122198,12能新01,,100910,国债0910
122199,12能新02,,100911,国债0911
122200,12晋兰花,,100912,国债0912
122201,12开滦01,,100913,国债0913
122202,12海螺01,,100916,国债0916
122203,12海螺02,,100917,国债0917
122204,12双良节,,100918,国债0918
122205,12沪交运,,100919,国债0919
122206,12赛轮债,,100920,国债0920
122207,12骆驼集,,100923,国债0923
122208,12招金券,,100924,国债0924
122209,12中油01,,100925,国债0925
122210,12中油02,,100926,国债0926
122211,12中油03,,100927,国债0927
122212,12京江河,,100930,国债0930
122213,12松建化,,100931,国债0931
122214,12大秦债,,100932,国债0932
122215,12永泰01,,101002,国债1002
122216,12桐昆债,,101003,国债1003
122217,12渝水务,,101005,国债1005
122218,12国航01,,101007,国债1007
122219,12榕泰债,,101008,国债1008
122220,12重工01,,101009,国债1009
122221,12重工02,,101010,国债1010
122222,12永泰02,,101012,国债1012
122223,12电气01,,101013,国债1013
122224,12电气02,,101014,国债1014
122225,12一拖01,,101015,国债1015
122226,12宝科创,,101017,国债1017
122227,13尖峰01,,101018,国债1018
122228,13天士01,,101019,国债1019
122229,12国控01,,101020,国债1020
122230,12沪海立,,101022,国债1022
122231,12上电债,,101023,国债1023
122232,12招商01,,101024,国债1024
122233,12招商02,,101026,国债1026
122234,12招商03,,101027,国债1027
122235,12芜湖港,,101028,国债1028
122236,12哈电01,,101029,国债1029
122237,12西资源,,101031,国债1031
122238,13宁港01,,101032,国债1032
122239,13中油01,,101033,国债1033
122240,13中油02,,101034,国债1034
122241,12东航01,,101037,国债1037
122242,12广汽01,,101038,国债1038
122243,12广汽02,,101039,国债1039
122244,12大唐01,,101040,国债1040
122245,13甬热电,,101041,国债1041
122247,13福新01,,101102,国债1102
122248,13福新02,,101103,国债1103
122249,13平煤债,,101104,国债1104
122250,13和邦01,,101105,国债1105
122251,13南车01,,101106,国债1106
122252,13南车02,,101108,国债1108
122253,12一拖02,,101110,国债1110
122254,12拜克01,,101112,国债1112
122255,13赣粤01,,101113,国债1113
122256,13保税债,,101114,国债1114
122257,12岳纸01,,101115,国债1115
122258,13云煤业,,101116,国债1116
122259,13中信01,,101117,国债1117
122260,13中信02,,101119,国债1119
122261,13华泰01,,101121,国债1121
122262,13华泰02,,101122,国债1122
122263,12豫园01,,101123,国债1123
122264,13京客隆,,101124,国债1124
122265,13川路桥,,101125,国债1125
122266,13中信03,,101203,国债1203
122267,13永泰债,,101204,国债1204
122268,12国航02,,101205,国债1205
122269,12国航03,,101206,国债1206
122270,13安信债,,101207,国债1207
122271,12兖煤03,,101208,国债1208
122272,12兖煤04,,101209,国债1209
122273,13鲁金01,,101210,国债1210
122274,11航民02,,101212,国债1212
122275,13京能01,,101213,国债1213
122276,13魏桥01,,101214,国债1214
122277,13华域01,,101215,国债1215
122278,13华域02,,101216,国债1216
122279,13外运债,,101217,国债1217
122280,13海通01,,101218,国债1218
122281,13海通02,,101220,国债1220
122282,13海通03,,101221,国债1221
122283,13盛屯债,,101301,国债1301
122285,13杉杉债,,101303,国债1303
122286,13中信建,,101304,国债1304
122288,13东吴债,,101305,国债1305
122289,13日照港,,101306,国债1306
122290,13包钢01,,101308,国债1308
122292,13兴业01,,101309,国债1309
122293,13兴业02,,101310,国债1310
122294,12鲁创投,,101311,国债1311
122500,12郴城投,,101312,国债1312
122501,12寿财资,,101313,国债1313
122502,12哈合力,,101314,国债1314
122503,12并龙城,,101315,国债1315
122504,12通天诚,,101316,国债1316
122505,12绍袍江,,101317,国债1317
122506,12吴交投,,101318,国债1318
122507,12玉交投,,101319,国债1319
122508,12兴林业,,101320,国债1320
122509,12白中兴,,101321,国债1321
122510,12靖新城,,101322,国债1322
122513,12伟星集,,101323,国债1323
122514,12金融街,,101324,国债1324
122515,12庆城投,,101325,国债1325
122516,12青州01,,101401,国债1401
122517,12青州02,,101402,国债1402
122518,12保利集,,101403,国债1403
122519,12锡经开,,101404,国债1404
122520,12唐城投,,101405,国债1405
122521,12筑金阳,,101406,国债1406
122522,12兴城建,,101917,国债917 
122523,12海亮01,,109052,地债1002
122524,12海亮02,,109055,地债1005
122525,12沪嘉开,,109058,地债1008
122526,12永川惠,,109060,地债1010
122527,12温国投,,109061,地债1101
122528,12琼港航,,109062,地债1102
122530,12七城投,,109063,地债1103
122531,12太科园,,109064,地债1104
122532,12宜财投,,109065,地债1105
122533,12平城投,,109066,地债1106
122534,12秦开发,,109067,地债1107
122535,12苏飞达,,109068,地债1108
122536,12慈国控,,109069,上海1101
122537,12克城投,,109070,上海1102
122538,12榕城乡,,109071,广东1101
122539,12阜城投,,109072,广东1102
122540,12宁浦口,,109073,浙江1101
122541,12宁上陵,,109074,浙江1102
122542,12阿信诚,,109075,深圳1101
122543,12钦开投,,109076,深圳1102
122544,12渝长开,,109077,地债1201
122545,12蒙高新,,109078,地债1202
122546,12宁高新,,109079,地债1203
122547,12曲靖投,,109080,地债1204
122549,12邳润城,,109081,地债1205
122550,12苏国信,,109082,地债1206
122551,12如东投,,109083,地债1207
122552,12新新业,,109084,地债1208
122553,12虞交通,,109085,上海1201
122554,12定海债,,109086,上海1202
122555,12常经投,,109087,广东1201
122556,12咸宁投,,109088,广东1202
122557,12株高科,,109089,地债1209
122558,12昆交01,,109090,地债1210
122559,12昆交02,,109091,浙江1201
122560,12淄城运,,109092,浙江1202
122561,12饶城投,,109093,深圳1201
122562,12伊春债,,109094,深圳1202
122563,12毫州债,,109095,地债1301
122564,12椒江债,,109096,地债1302
122565,12邵城投,,109097,地债1303
122566,12库城建,,109098,地债1304
122567,12小清河,,109099,地债1305
122568,12随州债,,109100,地债1306
122569,12津生态,,109101,地债1307
122570,12滇水投,,109102,地债1308
122571,12兴国资,,109103,山东1301
122572,12蓉投控,,109104,山东1302
122573,12牡国投,,109105,地债1309
122574,12淮开控,,109106,上海1301
122575,12肥城债,,109107,上海1302
122576,12内江债,,109108,地债1310
122577,12苏相城,,109109,广东1301
122578,12长宁债,,109110,广东1302
122579,09远洋债,,109111,江苏1301
122581,12津南城,,109112,江苏1302
122582,12湘九华,,109113,地债1311
122583,12遵投债,,109114,地债1312
122584,12松城开,,109115,浙江1301
122585,12新海连,,109116,浙江1302
122586,12中交通,,109117,深圳1301
122587,12遵桥债,,109118,深圳1302
122588,12益城投,,111018,02电网15
122589,12毕信泰,,111019,02广核债
122590,12鹤城投,,111023,03中铁债
122591,12常交债,,111024,04华电1 
122592,12乌国资,,111025,04华电2 
122593,12衡城投,,111026,05粤交通
122594,12泉州01,,111029,06豫投债
122595,12泉州02,,111030,05泰达债
122596,12沪城开,,111031,06鄂能债
122597,12宝钛债,,111032,06鲁能债
122598,12荆门债,,111035,06节能债
122599,12梵投债,,111039,08奈伦债
122600,12鑫泰债,,111041,08铁岭债
122601,12白山债,,111042,08嘉城投
122602,12松城投,,111045,08西城投
122603,12穗经开,,111047,08长兴债
122604,12吉铁投,,111048,09渝水投
122605,11宁海债,,111049,09绍水务
122606,12顺鑫债,,111050,09华菱债
122607,12渝地产,,111051,09怀化债
122608,12西永债,,111052,09哈城投
122609,12扬城控,,111055,09华西债
122610,12乐清债,,111056,09湖交投
122611,12蓉经01,,111057,09兖城投
122612,12蓉经02,,111058,09黄城投
122613,12乌海债,,111059,09宿建投
122614,12渝缙债,,111060,10佳城投
122615,12百色债,,111062,10并高铁
122616,12黔铁债,,111063,11富阳债
122617,12襄投债,,111064,11长交债
122618,12统众债,,111065,11豫中小
122619,12迁安债,,111066,11蓉中小
122620,12乌城投,,112001,08粤电债
122621,12赣城债,,112002,08中联债
122622,12锦城债,,112004,08中粮债
122623,12旅建债,,112008,09金街02
122624,12滨开债,,112009,09粤高债
122625,12升华债,,112010,09西煤债
122626,12海恒债,,112011,09东药债
122627,12京建工,,112012,09美好债
122628,12东投债,,112013,09亿城债
122629,12平发债,,112014,09银基债
122630,12惠投债,,112015,09泛海债
122631,12晋国电,,112016,09宏润债
122632,12江阴债,,112017,09希望债
122633,12嘉经债,,112018,09津滨债
122634,12芜开01,,112019,09宜化债
122635,12芜开02,,112020,10大亚债
122636,12连发债,,112021,10南玻01
122637,12鑫城债,,112022,10南玻02
122638,12申华信,,112023,10煤气01
122639,12绍新城,,112024,10煤气02
122640,12仪征债,,112025,11珠海债
122641,12武进债,,112026,11新兴01
122642,12朝阳债,,112027,11新兴02
122643,12海资债,,112028,11冀能债
122644,12铁岭债,,112029,11软控债
122645,12苏园建,,112030,11鲁西债
122648,12宣国投,,112031,11晨鸣债
122649,12长建投,,112032,11柳工01
122650,12泰能债,,112033,11柳工02
122651,12广安投,,112034,11陕气债
122652,12杨农债,,112035,11国脉债
122654,12昆钢控,,112036,11三钢01
122655,12铜建投,,112037,11万方债
122658,12盘锦债,,112038,11锡业债
122659,12石油06,,112039,11黔轮债
122660,12石油07,,112040,11建能债
122661,12怀化债,,112041,11冀东01
122662,12合桃花,,112042,11东控01
122663,12科发债,,112043,11东控02
122664,12葫芦岛,,112044,11中泰01
122665,12镇交投,,112045,11宗申债
122666,12国网01,,112046,11华孚01
122667,12国网02,,112047,11海大债
122668,12凉国投,,112048,11凯迪债
122669,12桂林债,,112049,11安泰01
122670,12新盛债,,112050,11报喜01
122671,12扬子江,,112051,11报喜02
122672,12西城投,,112052,11许继债
122673,12渝李渡,,112053,11新筑债
122674,12渝黔江,,112054,11鄂能债
122675,12杭城投,,112055,11徐工01
122676,12滨江债,,112056,11远兴债
122677,12江宁债,,112057,11东磁债
122678,12扬化工,,112058,11中粮01
122679,12河套债,,112059,11联化债
122680,12昆建债,,112060,12金风01
122681,12合农投,,112062,12新都债
122682,12营口债,,112063,11常山债
122683,12春和债,,112064,12隆平债
122684,12合高新,,112065,12柳工债
122685,12吉城投,,112066,11西建债
122686,12白药债,,112067,11冀东02
122687,12金坛债,,112068,11棕榈债
122688,12华通债,,112069,12明牌债
122689,12宿开发,,112070,12中泰债
122690,12三胞债,,112071,11智光债
122691,12武清债,,112072,12湘鄂债
122692,12漳路桥,,112073,11三钢02
122693,12佳城投,,112074,12华茂债
122694,12兴荣债,,112075,12雅致01
122695,12五国投,,112076,12雅致02
122696,12丹投债,,112077,12化机债
122697,11太资债,,112078,12太钢01
122698,12双流01,,112079,12长安债
122699,12双流02,,112080,12万向债
122700,12来宾债,,112081,11新野01
122701,12余城建,,112082,11赤湾01
122702,12海安债,,112083,11国星债
122703,12鞍城投,,112084,11万家债
122704,12江都债,,112085,12乐视01
122705,12苏交通,,112086,12圣农01
122706,12海门债,,112087,12中富01
122707,12泰兴债,,112088,12富春01
122708,12伊旗债,,112089,12万丰01
122709,12绵阳债,,112090,12中兴01
122710,12济城建,,112091,12向日01
122711,12郑新债,,112092,12海药债
122712,12中航债,,112093,11亚迪01
122713,12冀交通,,112094,11中利债
122714,12海陵债,,112095,12康盛债
122715,12蓉新城,,112096,12国创债
122716,12莆田债,,112097,12亚厦债
122717,12泉矿债,,112098,11新野02
122718,12渝南债,,112099,12乐视02
122719,12龙交投,,112100,12盾安债
122720,12甬城投,,112101,12安泰债
122721,12辽国资,,112102,12大康债
122722,12淮水利,,112103,12海型债
122723,12石油05,,112104,12太钢02
122724,12攀国投,,112105,12东宝债
122725,12宿产发,,112106,12太钢03
122726,12柳东债,,112107,12云内债
122727,12东胜债,,112108,12舜天债
122728,12徐经开,,112109,12南糖债
122729,12江泉债,,112110,12东锆债
122730,12晋江债,,112111,12深机01
122731,12镇经开,,112112,12江泥01
122732,12九江债,,112113,12冀东01
122733,11京资01,,112114,12冀东02
122734,11京资02,,112115,12冀东03
122735,11六安债,,112116,12中桥债
122736,12石油03,,112117,12福发债
122737,12石油04,,112118,12金螳01
122740,12延城投,,112119,12恒邦债
122741,11双鸭山,,112120,12联发债
122742,12鲁高速,,112121,12景兴债
122743,12华发集,,112122,12建峰债
122744,11本溪债,,112123,12中山01
122745,12方大01,,112124,11徐工02
122746,12方大02,,112125,12海翔债
122747,12晋煤运,,112126,12科伦01
122748,12石油01,,112127,12华西债
122749,12石油02,,112128,12辰矿01
122750,12常经营,,112129,12华锦债
122751,11冀新债,,112130,12华包债
122752,11大丰港,,112131,12露笑债
122753,12姜国资,,112132,12制药债
122754,11通化债,,112133,12亚夏债
122755,12潭城建,,112134,12合兴债
122756,12甘农垦,,112135,12蓝标01
122757,11丹东债,,112136,12勤上01
122758,11张保债,,112137,12康得债
122759,11泰豪债,,112138,12苏宁01
122760,12渝富债,,112139,12北新债
122761,11萧国资,,112140,12基地债
122762,11吴江债,,112141,12金王债
122763,11淮产投,,112142,12格林债
122764,11泛海01,,112143,12粤电01
122765,11泛海02,,112144,12晨鸣债
122766,11宜建投,,112145,13荣信01
122767,11盐城南,,112146,12希努01
122768,11兰城投,,112147,13恒顺债
122769,11龙海债,,112148,12光电债
122770,11国网01,,112149,12芭田债
122771,11国网02,,112150,12银轮债
122772,11山煤债,,112151,13秦川债
122773,11滨海01,,112152,12亚达债
122774,11滨海02,,112153,12科伦02
122775,11咸城投,,112154,12盐湖01
122776,11新光债,,112155,12正邦债
122777,11吴中债,,112156,12中顺债
122778,11建发债,,112157,12科陆01
122779,11株城发,,112158,12民生债
122780,11长高新,,112159,12金刚债
122781,11永州债,,112160,12毅昌01
122782,11宁农债,,112161,13传化债
122783,11苏中能,,112162,12粤电债
122784,11中兴新,,112163,12黑牛01
122786,11联想债,,112164,12河钢01
122787,11赣铁债,,112165,12德豪债
122788,11三明债,,112166,12河钢02
122789,11象屿债,,112167,12莱士债
122790,11诸暨债,,112168,12三维债
122792,11邯郸债,,112169,12中财债
122793,11扬开债,,112170,12濮耐01
122794,11海城债,,112171,12久联债
122795,11诸城债,,112172,13普邦债
122796,11冀投01,,112173,12南港债
122797,11冀投02,,112174,13广田01
122798,11泰矿债,,112175,13三九01
122799,11武国资,,112176,13大立债
122800,11龙煤电,,112177,13围海债
122801,11焦作债,,112178,12墨龙01
122802,11辽阳债,,112179,13南洋债
122803,11滁州债,,112180,12奥飞债
122804,11渭南01,,112181,13广发01
122805,11大同债,,112182,13广发02
122806,11渭南02,,112183,13广发03
122807,11东岭债,,112184,13嘉寓债
122808,11滕州债,,112185,12金亚01
122809,11准国资,,112186,13国元01
122810,11邹平债,,112187,13国元02
122811,11蒙奈伦,,112188,13渤租债
122812,11淮北债,,112189,12瑞泽债
122813,11宁交通,,112190,11亚迪02
122814,11东营债,,112191,13天晟01
122815,11广汇债,,112192,13赤湾01
122816,11高密债,,112193,13美邦01
122817,11三门峡,,112194,13东北01
122818,11牟平债,,112195,13东北02
122819,11常城建,,112196,13苏宁债
122820,11潍东方,,112197,13山证01
122821,11吉城建,,117001,13福星债
122822,11汉中债,,118001,12嘉力达
122823,11舟山债,,118002,12德福莱
122824,11中煤建,,118005,12浔旅债
122825,11景德镇,,118006,12中欣01
122826,11北港债,,118007,12信威债
122827,11新奥债,,118008,12中欣02
122828,11抚州债,,118010,12锡物流
122829,11万基债,,118011,12森德债
122830,11沈国资,,118012,12浙富立
122831,11惠通债,,118013,12鸿仪债
122832,11泰山债,,118014,12四方债
122833,11赣城债,,118015,12中科债
122834,11牡国投,,118018,12申环01
122835,11兴泸债,,118019,12永鹏债
122836,11盘锦债,,118020,12中能01
122837,11武经发,,118021,12南菱01
122838,11吉利债,,118022,12常科试
122839,11鑫泰债,,118023,12中实债
122840,11临汾债,,118024,12四环01
122841,11渝津债,,118025,12长公债
122842,11合城债,,118026,12派特01
122843,11绥化债,,118028,12蒙农科
122844,11筑城投,,118030,12福星债
122845,11横店债,,118031,12武医债
122846,11渝富债,,118032,12浩蓝债
122847,11甬交投,,118033,12远古债
122848,10桂林债,,118034,12瑞昌01
122849,11新余债,,118035,12新大禹
122850,11华泰债,,118036,12宁西债
122851,10玉溪01,,118037,12建通债
122852,10玉溪02,,118038,12福星门
122853,10太重债,,118040,12宣酒债
122854,11中汇债,,118041,12北矿债
122855,11渝轻纺,,118042,12联飞翔
122856,11株高科,,118043,12锦昉债
122857,10九华债,,118044,12黑乳债
122858,10盐城01,,118045,12航食01
122859,10盐城02,,118046,12长青债
122860,10龙源债,,118047,12富士宝
122861,09陕煤化,,118048,12南菱02
122862,10闽能源,,118049,12海吉星
122863,10榆城投,,118050,12扬安债
122864,11外滩债,,118051,12漳水债
122865,10苏海发,,118052,12森园01
122866,10杭交投,,118053,12乐陶01
122867,11石城投,,118054,12威仕达
122868,10沈煤债,,118055,12思倍驰
122869,10沪化工,,118057,12冠耀集
122870,10渝大晟,,118058,12通惠债
122871,10镇交投,,118059,12东配件
122872,10复星债,,118060,12雷山债
122873,10通经开,,118061,12鸿瑞债
122874,10红投01,,118062,12蒙奶联
122875,10红投02,,118063,12恒星债
122876,11海控债,,118065,12致富债
122877,10渝南岸,,118066,12盛水债
122879,10天脊债,,118067,12蓝博01
122880,10天业债,,118068,12东飞01
122881,10吴江债,,118069,12天地债
122882,10宁高新,,118070,13汤山债
122883,10楚雄债,,118071,12瑞昌02
122884,10西子债,,118073,13嵊宾馆
122885,10冀交通,,118074,12青雨01
122886,10云投债,,118075,12松江债
122887,10渝交通,,118076,12杭建工
122888,10华靖债,,118077,12杭设备
122889,10冶色债,,118078,13宏公路
122890,10凯迪债,,118079,13锡软件
122891,10通辽债,,118080,12东飞02
122892,10寿光债,,118081,13土楼债
122893,10丹东债,,118082,12海纳债
122894,10洪市政,,118083,12嘉林债
122895,10德州债,,118084,13华岳债
122896,10芜开债,,118085,13恒顺达
122897,10襄投债,,118086,12航食02
122898,10攀国投,,118087,12昭仪债
122899,10杨浦01,,118088,12中能02
122900,10杨浦02,,118089,12精彩债
122901,10营口债,,118090,12宝塔01
122902,10赤峰债,,118091,12蓝博02
122903,10盐东方,,118092,12泰亨债
122904,10长城投,,118093,13淹城债
122905,10南昌债,,118094,12福添债
122906,10芜投01,,118095,12浙天台
122907,10芜投02,,118096,13南浔债
122908,10苏交通,,118097,12山寨债
122909,10宜兴债,,118098,13骏浩01
122910,PR漯河债,,118099,12科地01
122911,10鞍城投,,118100,12广建债
122912,10鄂国资,,118101,12亚德债
122913,10通产控,,118102,13红卫债
122914,09榕建债,,118103,12张鸭子
122915,10镇水投,,118104,12金正债
122916,10红谷滩,,118105,13东星债
122917,10太仓港,,118106,13圣达01
122918,10阜阳债,,118107,12宝塔02
122919,10鲁商债,,118108,12赛恩债
122920,10黄山债,,118109,12森瑞债
122921,10郴州债,,118110,13莲花山
122922,10长高新,,118111,13海交投
122923,10北汽投,,118112,13御景01
122924,10巢湖债,,118113,13苏新债
122925,09沈国资,,118114,13济环01
122926,09青国投,,118115,13济环02
122927,09海航债,,118116,13淮康嘉
122928,09铁岭债,,118117,13海希债
122929,09九江债,,118118,13胜伟债
122930,09盘锦债,,118119,13天喜01
122931,09临海债,,118120,13天喜02
122932,09宜城债,,118121,13福星门
122933,09南山1 ,,118122,13利树债
122934,09南山2 ,,118123,13华珠债
122935,09南通债,,118124,13常机债
122936,09鹤城投,,118125,13梅花01
122937,10辽源债,,118126,13绿润债
122938,09汾湖债,,118127,13骏浩02
122939,09吉安债,,118128,13瑞源01
122940,09咸城投,,118129,13华春债
122941,10镇城投,,118130,13光发债
122942,09江阴债,,118131,13正和债
122943,09外高桥,,118132,13婷美债
122944,09株城投,,118133,13瑞源02
122945,09虞水债,,118134,13中磁债
122946,09扬城建,,118135,13蓝天债
122947,09合建投,,118136,13龙丹01
122948,09锡交债,,118138,13凯英信
122949,09常投债,,118139,13金叶01
122950,09渝能源,,118140,13新港债
122951,09淮城投,,118141,13开来债
122952,09赣州债,,118142,13新明01
122953,09岳城建,,118143,13津桥01
122954,09武进债,,118144,13赛特债
122955,09潭城建,,118145,13帷盛01
122956,09常高新,,118146,13帷盛02
122957,09蓉工投,,118147,13华光01
122958,09长经开,,118148,13华光02
122959,09清控债,,118149,13八达01
122960,09保利集,,118150,13龙腾债
122961,09武城投,,118151,13华龙01
122962,09宁交通,,118152,13如皋01
122964,09龙湖债,,118153,13环球01
122965,09潍投债,,118154,13共兴债
122966,09滇投债,,118155,13安期生
122967,09闽漳龙,,118156,13江苏院
122968,09杭城投,,118157,13汉柏债
122969,09豫投债,,118158,13百川债
122971,09三峡02,,118159,13华光03
122972,09绵投控,,118160,13蒙国美
122973,PR昆创控,,118161,13三峡01
122974,PR镇城投,,118162,13三峡02
122975,09济城建,,118163,13旭长债
122976,09永煤债,,118164,13昭信债
122980,09津投3 ,,118165,13国德01
122981,09铜城投,,118166,13宝悦01
122982,PR长城开,,118167,13江南01
122983,09南钢联,,118168,13新天阳
122984,09六城投,,118169,13新诚01
122986,09春华债,,118170,13汉威01
122988,09渝隆债,,118171,13康迪债
122989,08渝交通,,118172,13百商01
122991,08海航债,,118173,13合利债
122995,08合建投,,118174,13新明02
122996,08常城建,,118175,13丰投01
122998,长债暂停,,118176,13德御01
122999,08广纸债,,118177,13威壮债
124000,12奉投资,,118178,13宝悦02
124001,12漯城投,,118179,13新诚02
124002,12蒙高路,,118181,13恩悠债
124003,12珠水务,,118182,13姜仔01
124004,12盐城南,,118183,13姜仔02
124005,12昆创控,,118184,13博发01
124006,12绍城投,,118185,13博发02
124007,12西电梯,,118186,13博发03
124008,12国奥投,,118187,13弘佳债
124009,12渝惠农,,118190,13浔旅债
124010,12鸡国资,,118191,13东宇债
124011,12锡科技,,118195,13易博债
124012,12高密01,,118197,13新诚03
124013,12高密02,,118198,13珍珠债
124014,12筑住投,,118200,13昆旅01
124015,12筑工投,,118901,13国信01
124016,12常德源,,118902,13一创01
124017,12伊国资,,119019,宁公控3 
124018,12昌经投,,119020,宁公控4 
124019,12湘昭投,,119021,宁公控5 
124020,12辽城经,,119024,侨城02  
124021,12潍东兴,,119025,侨城03  
124022,12韶金叶,,119026,侨城04  
124023,12滁城投,,119027,侨城05  
124024,12青投资,,119029,澜沧江1 
124025,12池城投,,119030,澜沧江2 
124026,12川广元,,119031,澜沧江3 
124027,12瑞国投,,119032,澜沧江4 
124028,12诸城投,,119033,澜沧江5 
124029,12玉城投,,119035,阿里01  
124030,12宁城投,,119038,阿里02  
124031,12豫铁投,,119041,阿里03  
124032,12宜建投,,119044,阿里04  
124033,12苏城投,,119047,阿里05  
124034,12郑城投,,125089,深机转债
124035,12沭金源,,125887,中鼎转债
124036,12张经开,,126729,燕京转债
124037,12渝江北,,127001,海直转债
124038,12远洲控,,127002,徐工转债
124039,12渝江津,,128001,泰尔转债
124040,12绍迪荡,,128002,东华转债
124041,12宿水务,,128003,华天转债
124042,12鄂旅投,,128004,久立转债
124043,12深立业,,131800,Ｒ-003  
124044,12联想债,,131801,Ｒ-007  
124045,12嘉经开,,131802,Ｒ-014  
124046,12濮建投,,131803,Ｒ-028  
124047,12黔宏升,,131805,Ｒ-091  
124048,12平国资,,131806,Ｒ-182  
124049,12营沿海,,131809,Ｒ-004  
124050,12榆城投,,131810,Ｒ-001  
124051,12庆高新,,131811,Ｒ-002  
124052,12昆产投,,159001,保证金  
124053,12营口港,,159003,招商快线
124054,12株云龙,,159900,申赎现金
124055,12蓉高投,,159901,深100ETF
124056,12启国投,,159902,中 小 板
124057,12汕城开,,159903,深成ETF 
124058,12萍乡债,,159905,深红利  
124059,12临城发,,159906,深成长  
124060,12驻投资,,159907,中小300 
124061,12沛国资,,159908,深F200  
124062,12冀顺德,,159909,深TMT   
124063,12国网03,,159910,深F120  
124064,12国网04,,159911,民营ETF 
