"","Term","Ont","N","DE","P.DE"
"191","cellular biosynthetic process","BP",4938,154,3.02514340804332e-05
"192","nucleobase-containing compound biosynthetic process","BP",3310,111,3.05636743015794e-05
"193","regulation of macromolecule biosynthetic process","BP",3311,111,3.09605093463136e-05
"194","regulation of hemopoiesis","BP",407,24,3.15634497955493e-05
"195","positive regulation of leukocyte migration","BP",144,13,3.1722806990819e-05
"196","regulation of nucleobase-containing compound metabolic process","BP",3352,112,3.26023267064312e-05
"197","positive regulation of leukocyte chemotaxis","BP",87,10,3.30657776489812e-05
"198","cytokine metabolic process","BP",125,12,3.46253581103598e-05
"199","homeostatic process","BP",1887,71,3.46712476714781e-05
"200","artery development","BP",106,11,3.55032596362303e-05
"201","granulocyte migration","BP",146,13,3.66816680554336e-05
"202","wound healing","BP",360,22,3.93451264561132e-05
"203","regulation of cellular macromolecule biosynthetic process","BP",3219,108,3.94217929980867e-05
"204","regulation of cytokine secretion","BP",213,16,4.00075246814992e-05
"205","macrophage migration","BP",56,8,4.19879539509591e-05
"206","positive regulation of cell proliferation","BP",972,43,4.21910425345449e-05
"207","regulation of defense response","BP",640,32,4.37576025155052e-05
"208","regulation of cytokine biosynthetic process","BP",109,11,4.60445553053207e-05
"209","regulation of peptidyl-tyrosine phosphorylation","BP",263,18,4.62584070577564e-05
"210","regulation of macromolecule metabolic process","BP",5486,167,4.6363838890911e-05
"211","MAPK cascade","BP",793,37,4.9063672477794e-05
"212","negative regulation of RNA metabolic process","BP",1269,52,5.09263243461153e-05
"213","regulation of nitrogen compound metabolic process","BP",5104,157,5.1044375067345e-05
"214","positive regulation of cytokine biosynthetic process","BP",74,9,5.20273598451248e-05
"215","regulation of fever generation","BP",10,4,5.34367279761567e-05
"216","macrophage chemotaxis","BP",43,7,5.3727448513449e-05
"217","positive regulation of signal transduction","BP",1504,59,5.39312013123835e-05
"218","negative regulation of cellular biosynthetic process","BP",1471,58,5.44390579343396e-05
"219","regulation of MAPK cascade","BP",737,35,5.51532048105139e-05
"220","lymphocyte differentiation","BP",395,23,5.5671258747868e-05
"221","developmental maturation","BP",317,20,5.63327101984514e-05
"222","positive regulation of transport","BP",1081,46,5.80418113228626e-05
"223","negative regulation of biosynthetic process","BP",1509,59,5.9128695819846e-05
"224","positive regulation of locomotion","BP",593,30,6.11184077429487e-05
"225","signal transduction","BP",6028,180,6.11404537913672e-05
"226","T cell differentiation","BP",269,18,6.19490392618395e-05
"227","artery morphogenesis","BP",76,9,6.43756660707365e-05
"228","negative regulation of macromolecule biosynthetic process","BP",1414,56,6.54377566298899e-05
"229","regulation of cell death","BP",1685,64,6.63547022877542e-05
"230","transport","BP",4398,138,6.96455823950566e-05
"231","inorganic ion homeostasis","BP",746,35,7.01789810907838e-05
"232","signal transduction by protein phosphorylation","BP",810,37,7.59164553495723e-05
"233","lipid metabolic process","BP",1258,51,7.8826504530091e-05
"234","organic substance biosynthetic process","BP",5031,154,8.01460606391455e-05
"235","positive regulation of transcription by RNA polymerase II","BP",1226,50,8.01500152394935e-05
"236","metal ion homeostasis","BP",664,32,8.72641502813958e-05
"237","positive regulation of protein secretion","BP",302,19,8.9035965068597e-05
"238","positive regulation of protein transport","BP",435,24,8.9487461048521e-05
"239","positive regulation of intracellular signal transduction","BP",1005,43,8.97919728381643e-05
"240","T cell activation","BP",491,26,9.02744216917896e-05
"241","ossification","BP",381,22,9.06885608884178e-05
"242","cellular response to stimulus","BP",7810,223,9.11170108914638e-05
"243","regulation of secretion","BP",911,40,9.17208092870803e-05
"244","regulation of nervous system development","BP",1071,45,9.35950763080371e-05
"245","positive regulation of epithelial to mesenchymal transition","BP",47,7,9.68056511079095e-05
"246","positive regulation of protein metabolic process","BP",1639,62,9.73381525970622e-05
"247","positive regulation of neurogenesis","BP",580,29,9.90087610546698e-05
"248","negative regulation of nitrogen compound metabolic process","BP",2271,80,0.000100438383717254
"249","positive regulation of peptide secretion","BP",331,20,0.000101855479340555
"250","cell communication","BP",6648,194,0.000106081244503044
"251","cation homeostasis","BP",732,34,0.000107679523545083
"252","brown fat cell differentiation","BP",48,7,0.000111093572502786
"253","cellular macromolecule metabolic process","BP",7099,205,0.000111846540019828
"254","regulation of animal organ morphogenesis","BP",209,15,0.00011539663458709
"255","regulation of hydrolase activity","BP",985,42,0.000116752628160035
"256","signaling","BP",6579,192,0.000117652234035411
"257","glossopharyngeal nerve development","BP",5,3,0.000119242959824979
"258","cytokine biosynthetic process","BP",121,11,0.000119453645157526
"259","positive regulation of inflammatory response","BP",142,12,0.000119977875790914
"260","positive regulation of catalytic activity","BP",1051,44,0.000121394660168818
"261","heat generation","BP",22,5,0.000124177740100817
"262","negative regulation of cytokine production","BP",259,17,0.00012423731042155
"263","nitrogen compound metabolic process","BP",8923,249,0.00012432695147304
"264","regulation of neurogenesis","BP",956,41,0.000124408790116355
"265","endothelial cell proliferation","BP",143,12,0.000128268606075831
"266","positive regulation of cell motility","BP",561,28,0.000133877953346839
"267","establishment of localization","BP",4538,140,0.000135039790240643
"268","organonitrogen compound metabolic process","BP",6234,183,0.000136446651025129
"269","cellular response to chemical stimulus","BP",3023,100,0.000138213957840408
"270","positive regulation of nervous system development","BP",651,31,0.000138840345335427
"271","regulation of tissue remodeling","BP",84,9,0.000141265442193098
"272","peptide secretion","BP",652,31,0.000142668927763929
"273","regulation of granulocyte chemotaxis","BP",50,7,0.000144813146724971
"274","regulation of cell development","BP",1093,45,0.000148196347137559
"275","neuron differentiation","BP",1494,57,0.000151121723285582
"276","positive regulation of leukocyte differentiation","BP",168,13,0.000154489415154885
"277","regulation of gene expression","BP",3860,122,0.000155480147707638
"278","regulation of cell adhesion","BP",686,32,0.000158098848803277
"279","negative regulation of cellular metabolic process","BP",2449,84,0.000161593116307749
"280","positive regulation of cellular protein metabolic process","BP",1532,58,0.000161604609491324
"281","cell activation","BP",1098,45,0.000164071296792237
"282","positive regulation of cell migration","BP",539,27,0.000165560663296296
"283","ion homeostasis","BP",812,36,0.000170027447775643
"284","cell morphogenesis","BP",1100,45,0.000170840978438264
"285","positive regulation of establishment of protein localization","BP",454,24,0.00017086038054457
"286","fever generation","BP",13,4,0.000172134244622901
"287","positive regulation of cell development","BP",659,31,0.000172229115920527
"288","cell-cell adhesion","BP",720,33,0.000173179784907757
"289","regulation of neurotransmitter levels","BP",372,21,0.000177606151742528
"290","regulation of epithelial to mesenchymal transition","BP",87,9,0.000185135753206497
"291","regulation of immune system process","BP",1473,56,0.000189272964270627
"292","cytokine secretion","BP",244,16,0.000196896740622616
"293","positive regulation of DNA-binding transcription factor activity","BP",244,16,0.000196896740622616
"294","gland morphogenesis","BP",150,12,0.000201269271945475
"295","response to hormone","BP",697,32,0.00021005140931474
"296","calcium ion homeostasis","BP",489,25,0.00021031703461533
"297","regulation of endothelial cell proliferation","BP",129,11,0.000210906664907606
"298","negative regulation of cellular macromolecule biosynthetic process","BP",1379,53,0.000217091718999513
"299","positive regulation of MAPK cascade","BP",519,26,0.000217301974665558
"300","divalent inorganic cation homeostasis","BP",521,26,0.000230650545422275
"301","positive regulation of cellular component movement","BP",580,28,0.000231451826202293
"302","muscle structure development","BP",701,32,0.000232433003139145
"303","mammary gland branching involved in pregnancy","BP",6,3,0.000234375579724271
"304","fat-soluble vitamin biosynthetic process","BP",14,4,0.000236585477651275
"305","transmembrane receptor protein tyrosine kinase signaling pathway","BP",553,27,0.000249227884640643
"306","gland development","BP",467,24,0.000259246328209324
"307","positive regulation of endothelial cell proliferation","BP",91,9,0.000260745352936805
"308","regulation of secretion by cell","BP",831,36,0.0002644207548826
"309","positive regulation of cell adhesion","BP",411,22,0.000265103876509846
"310","cellular divalent inorganic cation homeostasis","BP",497,25,0.000268594837869513
"311","ion transport","BP",1565,58,0.000279499131020449
"312","negative regulation of nucleobase-containing compound metabolic process","BP",1395,53,0.000286661583185086
"313","positive regulation of macrophage migration","BP",26,5,0.000287350099135744
"314","blood coagulation","BP",156,12,0.000289555801932168
"315","regulation of peptide secretion","BP",529,26,0.000291606179235871
"316","regulation of programmed cell death","BP",1537,57,0.000310701555737262
"317","cell death","BP",2065,72,0.000311744181069693
"318","cellular calcium ion homeostasis","BP",473,24,0.000312184409892678
"319","regulation of heat generation","BP",15,4,0.000316727478062792
"320","regulation of vitamin metabolic process","BP",15,4,0.000316727478062792
"321","hemostasis","BP",158,12,0.000325475127575064
"322","acute-phase response","BP",41,6,0.000338664170899588
"323","regulation of macrophage migration","BP",41,6,0.000338664170899588
"324","coagulation","BP",159,12,0.000344805822987251
"325","negative regulation of response to external stimulus","BP",336,19,0.000348269268875109
"326","reproductive structure development","BP",449,23,0.000362062364345369
"327","cell fate commitment","BP",284,17,0.000367915375409397
"328","nitric oxide biosynthetic process","BP",76,8,0.000372063839101398
"329","regulation of apoptotic process","BP",1516,56,0.000386616823299014
"330","cell-substrate adhesion","BP",339,19,0.000388719833591944
"331","negative regulation of transport","BP",540,26,0.00039852545562427
"332","renin secretion into blood stream","BP",7,3,0.000403096282800445
"333","positive regulation of long-term neuronal synaptic plasticity","BP",7,3,0.000403096282800445
"334","regulation of calcidiol 1-monooxygenase activity","BP",7,3,0.000403096282800445
"335","reproductive system development","BP",453,23,0.000409747040824176
"336","lymph vessel development","BP",28,5,0.000413244163626548
"337","branching involved in mammary gland duct morphogenesis","BP",28,5,0.000413244163626548
"338","cellular nitrogen compound biosynthetic process","BP",3993,123,0.000417901938051603
"339","cytokine-mediated signaling pathway","BP",341,19,0.000417902093431488
"340","regulation of hemostasis","BP",78,8,0.000444385980616089
"341","protein secretion","BP",605,28,0.000453648421512506
"342","regulation of bone remodeling","BP",60,7,0.000458847007446258
"343","actin filament organization","BP",400,21,0.000467746389533248
"344","positive regulation of myeloid cell differentiation","BP",99,9,0.000489339656576944
"345","branching involved in blood vessel morphogenesis","BP",44,6,0.000501413092674509
"346","anatomical structure maturation","BP",190,13,0.000511295853025551
"347","regulation of protein secretion","BP",490,24,0.000517265538285762
"348","reactive oxygen species biosynthetic process","BP",121,10,0.000519597030483779
"349","positive regulation of neuron differentiation","BP",461,23,0.000521870003690527
"350","nitric oxide metabolic process","BP",80,8,0.000527717880973866
"351","positive regulation of transforming growth factor beta production","BP",17,4,0.000532288740273816
"352","negative regulation of cell differentiation","BP",799,34,0.000534142296239264
"353","histamine biosynthetic process","BP",2,2,0.000535129519933806
"354","mesenchymal cell differentiation","BP",216,14,0.000544062606294764
"355","negative regulation of macromolecule metabolic process","BP",2584,85,0.000562908550868621
"356","aminoglycan metabolic process","BP",101,9,0.000566818527109699
"357","response to organic substance","BP",3070,98,0.000569319920458264
"358","embryo development","BP",1231,47,0.000569990898258268
"359","cranial nerve morphogenesis","BP",30,5,0.000576790712737985
"360","cellular lipid metabolic process","BP",932,38,0.000578976908584181
"361","ERK1 and ERK2 cascade","BP",323,18,0.00058581930044732
"362","tissue remodeling","BP",193,13,0.000592737368560424
"363","positive regulation of ERK1 and ERK2 cascade","BP",218,14,0.000596024169452821
"364","extracellular matrix organization","BP",271,16,0.000628721853292456
"365","regulation of hormone levels","BP",557,26,0.000631834285615529
"366","metal ion transport","BP",839,35,0.00063343603128771
"367","renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure","BP",8,3,0.000633863823871297
"368","regulation of protein modification process","BP",1760,62,0.000643777198836816
"369","mesenchyme development","BP",272,16,0.000654099851439869
"370","positive regulation of immune system process","BP",1072,42,0.000672839977533431
"371","regulation of vascular endothelial growth factor production","BP",31,5,0.000674738833801844
"372","regulation of macrophage chemotaxis","BP",31,5,0.000674738833801844
"373","positive regulation of cytosolic calcium ion concentration","BP",327,18,0.000675819808498824
"374","glycosaminoglycan metabolic process","BP",83,8,0.000676014035364867
"375","macromolecule biosynthetic process","BP",4121,125,0.000684551258126379
"376","intracellular estrogen receptor signaling pathway","BP",47,6,0.00071933984340418
"377","cellular component morphogenesis","BP",1211,46,0.000724857488542473
"378","cellular ion homeostasis","BP",655,29,0.000730635600168535
"379","reactive nitrogen species metabolic process","BP",84,8,0.000732303360961894
"380","macromolecule metabolic process","BP",8488,233,0.000735324560288101
"381","cell maturation","BP",198,13,0.000752769134318843
"382","response to calcium ion","BP",127,10,0.000759482683914755
"383","epithelial cell differentiation","BP",626,28,0.000768205123127298
"384","regulation of system process","BP",596,27,0.000785111914647273
"385","regulation of T cell activation","BP",304,17,0.000792462927795397
"386","cellular macromolecule biosynthetic process","BP",4022,122,0.000807312878409841
"387","regulation of blood pressure","BP",200,13,0.00082624022764757
"388","regulation of interleukin-2 biosynthetic process","BP",19,4,0.000835597080681073
"389","regulation of ERK1 and ERK2 cascade","BP",306,17,0.000851896161926197
"390","canonical Wnt signaling pathway","BP",279,16,0.000857487267671458
"391","positive regulation of cellular component organization","BP",1290,48,0.000865952541775195
"392","positive regulation of cell communication","BP",1854,64,0.000881844035756187
"393","negative regulation of gene expression","BP",1783,62,0.000889153675511055
"394","developmental process involved in reproduction","BP",791,33,0.000896281510006805
"395","cranial nerve development","BP",49,6,0.000901001980697754
"396","vascular endothelial growth factor production","BP",33,5,0.000907299788348405
"397","fat-soluble vitamin metabolic process","BP",33,5,0.000907299788348405
"398","behavior","BP",728,31,0.000917554752399124
"399","positive regulation of fever generation","BP",9,3,0.000934465466630972
"400","regulation of vitamin D biosynthetic process","BP",9,3,0.000934465466630972
"401","paraxial mesoderm formation","BP",9,3,0.000934465466630972
"402","positive regulation of signaling","BP",1860,64,0.00095616687038926
"403","regulation of nitric oxide biosynthetic process","BP",68,7,0.000982714405760069
"404","muscle cell differentiation","BP",395,20,0.0009866574879172
"405","regulation of response to wounding","BP",179,12,0.000990847547113543
"406","leukocyte activation","BP",994,39,0.00101145936835644
"407","regulation of DNA-binding transcription factor activity","BP",396,20,0.0010173223215205
"408","eosinophil chemotaxis","BP",20,4,0.00102550552276004
"409","immune response","BP",1652,58,0.00104384144688372
"410","growth","BP",1097,42,0.00105309441393232
"411","multicellular organismal homeostasis","BP",486,23,0.00106210791252596
"412","regulation of transferase activity","BP",832,34,0.00107007404389813
"413","regulation of sprouting angiogenesis","BP",69,7,0.00107221372079228
"414","mesoderm morphogenesis","BP",69,7,0.00107221372079228
"415","epithelial to mesenchymal transition","BP",133,10,0.001083907653082
"416","cellular cation homeostasis","BP",641,28,0.00109685058476219
"417","positive regulation of defense response","BP",370,19,0.00110989676946589
"418","alpha-beta T cell activation","BP",157,11,0.00111255743358279
"419","regulation of digestive system process","BP",51,6,0.00111606276669956
"420","response to estradiol","BP",51,6,0.00111606276669956
"421","cellular amino acid catabolic process","BP",90,8,0.00115429367611546
"422","organic acid metabolic process","BP",968,38,0.0011583949335847
"423","myeloid cell differentiation","BP",401,20,0.0011832134541564
"424","smooth muscle contraction","BP",112,9,0.00119295038219503
"425","regulation of protein metabolic process","BP",2687,86,0.00119691576516324
"426","cell surface receptor signaling pathway involved in cell-cell signaling","BP",521,24,0.00120414074052176
"427","striated muscle cell differentiation","BP",316,17,0.0012094134687532
"428","regulation of neuron migration","BP",52,6,0.00123732574401536
"429","positive regulation of cell migration involved in sprouting angiogenesis","BP",21,4,0.00124378677016747
"430","positive regulation of macrophage chemotaxis","BP",21,4,0.00124378677016747
"431","interleukin-2 biosynthetic process","BP",21,4,0.00124378677016747
"432","negative regulation of digestive system process","BP",21,4,0.00124378677016747
