mgi_symbol_a,mgi_symbol_b,dip_id_a,dip_id_b,uniprot_id_a,uniprot_id_b,interaction_types,interaction_detection_methods,confidence_value
Ghr,Stat5a,DIP-441N,DIP-897N,P16882,P42230,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Stat5b,Ghr,DIP-898N,DIP-441N,P42232,P16882,MI:0218(physical interaction),MI:0013(biophysical),dip-quality-status:core
Fos,Jun,DIP-1066N,DIP-1068N,P01101,P05627,MI:0218(physical interaction),MI:0018(two hybrid),dip-quality-status:core
Mapk1,Araf,DIP-661N,DIP-1070N,P63085,P04627,MI:0218(physical interaction),MI:0401(biochemical),dip-quality-status:core
Mxi1,Sin3b,DIP-489N,DIP-470N,P50540,Q62141,MI:0218(physical interaction)|MI:0218(physical interaction),MI:0019(coimmunoprecipitation)|MI:0018(two hybrid),dip-quality-status:core
Jun,Jun,DIP-1068N,DIP-1068N,P05627,P05627,MI:0218(physical interaction),MI:0018(two hybrid),dip-quality-status:core
Jun,Atf4,DIP-1068N,DIP-30969N,P05627,Q06507,MI:0218(physical interaction),MI:0018(two hybrid),dip-quality-status:core
Jun,Tpm1,DIP-1068N,DIP-300N,P05627,P58771,MI:0218(physical interaction),MI:0018(two hybrid),dip-quality-status:core
Tpm2,Jun,DIP-628N,DIP-1068N,P58774,P05627,MI:0218(physical interaction),MI:0018(two hybrid),dip-quality-status:core
Tdg,Fos,DIP-216N,DIP-1066N,P56581,P01101,MI:0218(physical interaction),MI:0018(two hybrid),dip-quality-status:core
Fos,Atf4,DIP-1066N,DIP-30969N,P01101,Q06507,MI:0218(physical interaction),MI:0018(two hybrid),dip-quality-status:core
Jun,Fosb,DIP-1068N,DIP-1067N,P05627,P13346,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Junb,Fosb,DIP-1069N,DIP-1067N,P09450,P13346,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Junb,Fos,DIP-1069N,DIP-1066N,P09450,P01101,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Il13ra1,Il4ra,DIP-1167N,DIP-1168N,O09030,P16382,MI:0254(genetic interference),MI:0254(genetic interference),dip-quality-status:core
Sin3a,Mxi1,DIP-469N,DIP-489N,Q60520,P50540,MI:0218(physical interaction)|MI:0218(physical interaction),MI:0018(two hybrid)|MI:0019(coimmunoprecipitation),dip-quality-status:core
Tdg,Jun,DIP-216N,DIP-1068N,P56581,P05627,MI:0218(physical interaction),MI:0018(two hybrid),dip-quality-status:core
Ncf1,Ncf4,DIP-2665N,DIP-2664N,Q09014,P97369,MI:0218(physical interaction),MI:0018(two hybrid),dip-quality-status:core
Khdrbs1,Fyn,DIP-2861N,DIP-198N,Q60749,P39688,MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology),dip-quality-status:core
Grb2,Khdrbs1,DIP-259N,DIP-2861N,Q60631,Q60749,MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),MI:0049(filter binding)|MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation),dip-quality-status:core
Bcl2,Bag1,DIP-1065N,DIP-272N,P10417,Q60739,MI:0218(physical interaction),MI:0018(two hybrid),dip-quality-status:core
Egfr,Egf,DIP-5763N,DIP-5762N,Q01279,P01132,MI:0407(direct interaction),MI:0030(cross-linking study),dip-quality-status:core
Lifr,Lif,DIP-5772N,DIP-5771N,P42703,P09056,MI:0218(physical interaction),MI:0401(biochemical),dip-quality-status:core
Lifr,Ctf1,DIP-5772N,DIP-5773N,P42703,Q60753,MI:0218(physical interaction),MI:0401(biochemical),dip-quality-status:core
Ccr9,Ccl25,DIP-5886N,DIP-5885N,Q9WUT7,O35903,MI:0218(physical interaction),MI:0045(experimental interaction detection),dip-quality-status:core
Fgfr1,Fgf9,DIP-6033N,DIP-6032N,P16092,P54130,MI:0218(physical interaction),MI:0401(biochemical),dip-quality-status:core
Hprt,Hprt,DIP-6034N,DIP-6034N,P00493,P00493,MI:0218(physical interaction),MI:0018(two hybrid),dip-quality-status:core
B2m,H2-D1,DIP-6111N,DIP-6121N,P01887,P01899,MI:0407(direct interaction),MI:0114(x-ray crystallography),dip-quality-status:core
H2-K1,B2m,DIP-6189N,DIP-6111N,P01901,P01887,MI:0407(direct interaction),MI:0114(x-ray crystallography),dip-quality-status:core
Rela,Nfkb1,DIP-6219N,DIP-85N,Q04207,P25799,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0107(surface plasmon resonance)|MI:0114(x-ray crystallography)|MI:0096(pull down)|MI:0071(molecular sieving)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down),dip-quality-status:core
Cdk2,Ccnd1,DIP-24176N,DIP-284N,P97377,P25322,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Cdkn1a,Ccnd2,DIP-24178N,DIP-24177N,P39689,P30280,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Cdkn2a,Ccng2,DIP-24169N,DIP-24180N,Q64364,O08918,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Ppp2r5c,Ccng1,DIP-24181N,DIP-24179N,Q60996,P51945,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Ppp2r5c,Ccng2,DIP-24181N,DIP-24180N,Q60996,O08918,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Trp53,Mdm2,DIP-369N,DIP-24196N,P02340,P23804,MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0676(tandem affinity purification),dip-quality-status:core
Cdkn2a,Trp53,DIP-24169N,DIP-369N,Q64364,P02340,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Ccnd1,Cdkn1a,DIP-284N,DIP-24178N,P25322,P39689,MI:0218(physical interaction)|MI:0218(physical interaction),MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation),dip-quality-status:core
Ccnd1,Cdk6,DIP-284N,DIP-24175N,P25322,Q64261,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Cdk2,Cdkn1a,DIP-24176N,DIP-24178N,P97377,P39689,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Cdkn1a,Cdk4,DIP-24178N,DIP-194N,P39689,P30285,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Cdk6,Cdkn1a,DIP-24175N,DIP-24178N,Q64261,P39689,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Pycard,Pycard,DIP-27619N,DIP-27619N,Q9EPB4,Q9EPB4,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Diaph1,Diaph1,DIP-29028N,DIP-29028N,O08808,O08808,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0065(isothermal titration calorimetry)|MI:0065(isothermal titration calorimetry)|MI:0065(isothermal titration calorimetry)|MI:0065(isothermal titration calorimetry)|MI:0114(x-ray crystallography),dip-quality-status:core
Icam2,Rdx,DIP-29094N,DIP-29091N,P35330,P26043,MI:0407(direct interaction),MI:0107(surface plasmon resonance),dip-quality-status:core
Rdx,Icam1,DIP-29091N,DIP-29096N,P26043,P13597,MI:0407(direct interaction),MI:0107(surface plasmon resonance),dip-quality-status:core
Rdx,Vcam1,DIP-29091N,DIP-29097N,P26043,P29533,MI:0407(direct interaction),MI:0107(surface plasmon resonance),dip-quality-status:core
Gimap3,Bcl2,DIP-29182N,DIP-1065N,Q99MI6,P10417,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Gimap5,Bcl2,DIP-29183N,DIP-1065N,Q8BWF2,P10417,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Pias1,Nr2c1,DIP-29277N,DIP-29275N,O88907,Q505F1,MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)|MI:0018(two hybrid)|MI:0001(interaction detection method),dip-quality-status:core
Nr2c1,Ube2i,DIP-29275N,DIP-29276N,Q505F1,P63280,MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction),MI:0006(anti bait coimmunoprecipitation)|MI:0018(two hybrid)|MI:0096(pull down),dip-quality-status:core
Sumo1,Nr2c1,DIP-29278N,DIP-29275N,P63166,Q505F1,MI:0915(physical association)|MI:0915(physical association)|MI:0195(covalent binding)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0001(interaction detection method)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Nr2c1,Pml,DIP-29275N,DIP-29279N,Q505F1,Q60953,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Nr2c1,Nrip1,DIP-29275N,DIP-29280N,Q505F1,Q8CBD1,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0018(two hybrid)|MI:0018(two hybrid),dip-quality-status:core
Nr2c1,Kat2b,DIP-29275N,DIP-29281N,Q505F1,Q9JHD1,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0018(two hybrid)|MI:0001(interaction detection method)|MI:0018(two hybrid),dip-quality-status:core
Kat2a,Atxn7,DIP-29180N,DIP-29176N,Q9JHD2,Q8R4I1,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Wasf2,Abi1,DIP-29535N,DIP-29534N,Q8BH43,Q8CBW3,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Ndel1,Ndel1,DIP-29553N,DIP-29553N,Q9ERR1,Q9ERR1,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0028(cosedimentation in solution)|MI:0016(circular dichroism)|MI:0114(x-ray crystallography),dip-quality-status:core
Pafah1b1,Ndel1,DIP-29555N,DIP-29553N,P63005,Q9ERR1,MI:0407(direct interaction)|MI:0407(direct interaction),MI:0042(electron paramagnetic resonance)|MI:0096(pull down),dip-quality-status:core
Stub1,Akt1,DIP-29751N,DIP-736N,Q9WUD1,P31750,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Vcp,Vcp,DIP-29796N,DIP-29796N,Q01853,Q01853,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0410(electron tomography)|MI:0071(molecular sieving)|MI:0114(x-ray crystallography),dip-quality-status:core
Bcl2a1a,Bak1,DIP-29804N,DIP-29807N,Q07440,O08734,MI:0407(direct interaction)|MI:0407(direct interaction),MI:0114(x-ray crystallography)|MI:0065(isothermal titration calorimetry),dip-quality-status:core
Traf6,Ikbkg,DIP-29812N,DIP-29811N,P70196,O88522,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Ext2,Ndst1,DIP-29858N,DIP-29859N,P70428,Q3UHN9,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Zbp1,Tbk1,DIP-29879N,DIP-29880N,Q9QY24,Q9WUN2,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Zbp1,Irf3,DIP-29879N,DIP-29881N,Q9QY24,P70671,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Ppp1r12a,Prkg1,DIP-29982N,DIP-29981N,Q9DBR7,P0C605,MI:0915(physical association)|MI:0915(physical association),MI:0096(pull down)|MI:0096(pull down),dip-quality-status:core
Rhoa,Rtkn,DIP-29984N,DIP-29983N,Q9QUI0,Q8C6B2,MI:0915(physical association)|MI:0915(physical association),MI:0096(pull down)|MI:0096(pull down),dip-quality-status:core
Cd180,Ly86,DIP-30961N,DIP-30960N,Q62192,O88188,MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction),MI:0096(pull down)|MI:0071(molecular sieving)|MI:0096(pull down)|MI:0071(molecular sieving),dip-quality-status:core
Tank,Tbk1,DIP-33701N,DIP-29880N,P70347,Q9WUN2,MI:0407(direct interaction),MI:0096(pull down),dip-quality-status:core
Myd88,Irak1,DIP-34957N,DIP-31491N,P22366,Q62406,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Baz1b,Smarca5,DIP-36072N,DIP-36073N,Q9Z277,Q91ZW3,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Casp8,Fadd,DIP-37435N,DIP-34771N,O89110,Q61160,MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0676(tandem affinity purification)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Rela,Nfkbib,DIP-6219N,DIP-37418N,Q04207,Q60778,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Hif1a,Arnt,DIP-31083N,DIP-280N,Q61221,P53762,MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0071(molecular sieving)|MI:0096(pull down)|MI:0114(x-ray crystallography)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Ripk1,Tnfrsf1a,DIP-34962N,DIP-34532N,Q60855,P25118,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Clock,Arntl,DIP-30958N,DIP-43977N,O08785,Q9WTL8,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0809,(bimolecular fluorescence complementation)|MI:0007(anti tag coimmunoprecipitation)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0018(two hybrid)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Acy3,Acy3,DIP-44060N,DIP-44060N,Q91XE4,Q91XE4,MI:0407(direct interaction),MI:0114(x-ray crystallography),dip-quality-status:core
Tgfbr1,Shc1,DIP-42262N,DIP-271N,Q64729,P98083,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Pmaip1,Mcl1,DIP-45232N,DIP-33343N,Q9JM54,P97287,MI:0407(direct interaction)|MI:0407(direct interaction),MI:0077(nuclear magnetic resonance)|MI:0065(isothermal titration calorimetry),dip-quality-status:core
Tlr4,Ly96,DIP-38573N,DIP-38572N,Q9QUK6,Q9JHF9,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0826(x ray scattering)|MI:0071(molecular sieving),dip-quality-status:core
Tnfrsf1a,Fadd,DIP-34532N,DIP-34771N,P25118,Q61160,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Cdk4,Cdkn1b,DIP-194N,DIP-445N,P30285,P46414,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Psenen,Psen1,DIP-36333N,DIP-36237N,Q9CQR7,P49769,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Traf2,Tnfrsf1a,DIP-468N,DIP-34532N,P39429,P25118,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Psma1,Zfand2b,DIP-35147N,DIP-46091N,Q9R1P4,Q91X58,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Sorl1,Vps35,DIP-42439N,DIP-32210N,O88307,Q9EQH3,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Vps35,Sort1,DIP-32210N,DIP-46095N,Q9EQH3,Q6PHU5,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mcm3,Mcm2,DIP-45878N,DIP-33057N,P25206,P97310,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Mcm5,Mcm3,DIP-45875N,DIP-45878N,P49718,P25206,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Lilrb4a,Ptpn6,DIP-46122N,DIP-41455N,Q64281,P29351,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Gm49339,Ptpn6,DIP-46122N,DIP-41455N,Q64281,P29351,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Nedd4,Laptm5,DIP-32323N,DIP-37698N,P46935,Q61168,MI:0915(physical association),MI:0096(pull down),dip-quality-status:core
Mcm3,Mcm7,DIP-45878N,DIP-45877N,P25206,Q61881,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Casp1,Nod2,DIP-34659N,DIP-46115N,P29452,Q8K3Z0,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Rtp4,Oprm1,DIP-46418N,DIP-46148N,Q9ER80,P42866,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Trp53,Mafk,DIP-369N,DIP-46345N,P02340,Q61827,MI:0218(physical interaction),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Kcna2,Cttn,DIP-32239N,DIP-31562N,P63141,Q60598,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0096(pull down)|MI:0055(fluorescent resonance energy transfer)|MI:0096(pull down),dip-quality-status:core
Psma1,Zfand2a,DIP-35147N,DIP-46092N,Q9R1P4,Q9JII7,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Epas1,Esrrb,DIP-46109N,DIP-46110N,P97481,Q61539,MI:0915(physical association),MI:0096(pull down),dip-quality-status:core
Tlr4,Tradd,DIP-38573N,DIP-38039N,Q9QUK6,Q3U0V2,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mpv17l,Htra2,DIP-46298N,DIP-41272N,Q99MS3,Q9JIY5,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Mpdz,Cldn4,DIP-41165N,DIP-40781N,Q8VBX6,O35054,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Trp53,Bach1,DIP-369N,DIP-46342N,P02340,P97302,MI:0915(physical association)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Ehmt2,Dnmt3a,DIP-31916N,DIP-38005N,Q9Z148,O88508,MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Ehmt2,Dnmt3b,DIP-31916N,DIP-43736N,Q9Z148,O88509,MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down),dip-quality-status:core
Dnmt3a,Ehmt2,DIP-38005N,DIP-31916N,O88508,Q9Z148,MI:0407(direct interaction),MI:0096(pull down),dip-quality-status:core
Csf1r,Src,DIP-46415N,DIP-31071N,P09581,P05480,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Oprd1,Rtp4,DIP-46417N,DIP-46418N,P32300,Q9ER80,MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Csf1,Csf1r,DIP-45278N,DIP-46415N,P07141,P09581,MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),MI:0065(isothermal titration calorimetry)|MI:0826(x ray scattering)|MI:0065(isothermal titration calorimetry)|MI:0071(molecular sieving)|MI:0114(x-ray crystallography),dip-quality-status:core
Tlr4,Ripk1,DIP-38573N,DIP-34962N,Q9QUK6,Q60855,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Hdac1,Trp53,DIP-31499N,DIP-369N,O09106,P02340,MI:0218(physical interaction),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Bach1,Mafg,DIP-46342N,DIP-46344N,P97302,O54790,MI:0218(physical interaction)|MI:0218(physical interaction),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Htatsf1,Srsf2,DIP-46367N,DIP-44831N,Q8BGC0,Q62093,MI:0218(physical interaction),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Cdk9,Srsf2,DIP-46368N,DIP-44831N,Q99J95,Q62093,MI:0218(physical interaction),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Fadd,Atg16l1,DIP-34771N,DIP-31966N,Q61160,Q8C0J2,MI:0218(physical interaction),MI:0676(tandem affinity purification),dip-quality-status:core
Casp8,Atg5,DIP-37435N,DIP-46420N,O89110,Q99J83,MI:0218(physical interaction),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Elavl1,Copb1,DIP-46480N,DIP-42642N,P70372,Q9JIF7,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Insr,Cav1,DIP-41452N,DIP-35140N,P15208,P49817,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Lef1,Hipk2,DIP-35132N,DIP-31712N,P27782,Q9QZR5,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Carm1,Carm1,DIP-44593N,DIP-44593N,Q9WVG6,Q9WVG6,MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Cry1,Clock,DIP-38515N,DIP-30958N,P97784,O08785,MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation),dip-quality-status:core
Srsf2,Polr2a,DIP-44831N,DIP-46369N,Q62093,P08775,MI:0218(physical interaction),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Cdk9,Polr2a,DIP-46368N,DIP-46369N,Q99J95,P08775,MI:0218(physical interaction),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Nfkbia,Rela,DIP-36160N,DIP-6219N,Q9Z1E3,Q04207,MI:0915(physical association)|MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Tgfbr1,Tgfbr2,DIP-42262N,DIP-44605N,Q64729,Q62312,MI:0915(physical association),MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
