"","Pathway","N","DE","P.DE"
"path:mmu00630","Glyoxylate and dicarboxylate metabolism",31,1,0.583923402852834
"path:mmu00640","Propanoate metabolism",33,1,0.60685190725163
"path:mmu00650","Butanoate metabolism",27,1,0.5339954507687
"path:mmu00670","One carbon pool by folate",19,2,0.0968264831404009
"path:mmu00730","Thiamine metabolism",15,0,1
"path:mmu00740","Riboflavin metabolism",8,0,1
"path:mmu00750","Vitamin B6 metabolism",9,0,1
"path:mmu00760","Nicotinate and nicotinamide metabolism",43,0,1
"path:mmu00770","Pantothenate and CoA biosynthesis",18,2,0.0881975863033502
"path:mmu00780","Biotin metabolism",3,0,1
"path:mmu00785","Lipoic acid metabolism",4,0,1
"path:mmu00790","Folate biosynthesis",26,1,0.520608027194407
"path:mmu00830","Retinol metabolism",91,4,0.247619034472878
"path:mmu00860","Porphyrin and chlorophyll metabolism",41,0,1
"path:mmu00900","Terpenoid backbone biosynthesis",23,0,1
"path:mmu00910","Nitrogen metabolism",17,0,1
"path:mmu00920","Sulfur metabolism",11,0,1
"path:mmu00970","Aminoacyl-tRNA biosynthesis",66,1,0.845994741240166
"path:mmu00980","Metabolism of xenobiotics by cytochrome P450",67,5,0.0383476232482561
"path:mmu00982","Drug metabolism - cytochrome P450",69,3,0.301537096847149
"path:mmu00983","Drug metabolism - other enzymes",88,4,0.229506535525152
"path:mmu01040","Biosynthesis of unsaturated fatty acids",32,1,0.595549427190511
"path:mmu01100","Metabolic pathways",1545,47,0.272421965475333
"path:mmu01200","Carbon metabolism",120,1,0.967033839855948
"path:mmu01210","2-Oxocarboxylic acid metabolism",19,0,1
"path:mmu01212","Fatty acid metabolism",61,2,0.51005797550387
"path:mmu01230","Biosynthesis of amino acids",77,0,1
"path:mmu01521","EGFR tyrosine kinase inhibitor resistance",79,7,0.00627553453434019
"path:mmu01522","Endocrine resistance",93,3,0.481749027636435
"path:mmu01523","Antifolate resistance",30,3,0.049812048821994
"path:mmu01524","Platinum drug resistance",78,2,0.643861725929911
"path:mmu02010","ABC transporters",48,1,0.743112479677777
"path:mmu03008","Ribosome biogenesis in eukaryotes",116,0,1
"path:mmu03010","Ribosome",174,1,0.993012992719492
"path:mmu03013","RNA transport",166,1,0.991201995908868
"path:mmu03015","mRNA surveillance pathway",95,1,0.932618709903565
"path:mmu03018","RNA degradation",82,1,0.902361530179345
"path:mmu03020","RNA polymerase",30,0,1
"path:mmu03022","Basal transcription factors",44,0,1
"path:mmu03030","DNA replication",35,0,1
"path:mmu03040","Spliceosome",132,1,0.976626996626147
"path:mmu03050","Proteasome",46,1,0.728103494142645
"path:mmu03060","Protein export",28,0,1
"path:mmu03320","PPAR signaling pathway",87,4,0.223545534396741
"path:mmu03410","Base excision repair",34,0,1
"path:mmu03420","Nucleotide excision repair",43,0,1
"path:mmu03430","Mismatch repair",22,0,1
"path:mmu03440","Homologous recombination",41,0,1
"path:mmu03450","Non-homologous end-joining",13,1,0.30742445174711
"path:mmu03460","Fanconi anemia pathway",51,2,0.417465759369202
"path:mmu04010","MAPK signaling pathway",294,14,0.0351296645015105
"path:mmu04012","ErbB signaling pathway",84,5,0.0845292276662
"path:mmu04014","Ras signaling pathway",232,6,0.630942787459085
"path:mmu04015","Rap1 signaling pathway",214,11,0.0366891907751923
"path:mmu04020","Calcium signaling pathway",192,8,0.166850383156603
"path:mmu04022","cGMP-PKG signaling pathway",173,7,0.207419617229037
"path:mmu04024","cAMP signaling pathway",215,9,0.145731214883115
"path:mmu04060","Cytokine-cytokine receptor interaction",296,25,6.57831949702375e-07
"path:mmu04061","Viral protein interaction with cytokine and cytokine receptor",103,9,0.00223198576985913
"path:mmu04062","Chemokine signaling pathway",198,8,0.187265839817704
"path:mmu04064","NF-kappa B signaling pathway",110,9,0.00349196939073242
"path:mmu04066","HIF-1 signaling pathway",112,7,0.0365196686337023
"path:mmu04068","FoxO signaling pathway",131,2,0.884290233646671
"path:mmu04070","Phosphatidylinositol signaling system",98,5,0.137512609498648
"path:mmu04071","Sphingolipid signaling pathway",124,2,0.864656140503798
"path:mmu04072","Phospholipase D signaling pathway",148,4,0.594539630297548
"path:mmu04080","Neuroactive ligand-receptor interaction",350,10,0.513017880015297
"path:mmu04110","Cell cycle",123,2,0.86161476625045
"path:mmu04114","Oocyte meiosis",119,3,0.648721082028091
"path:mmu04115","p53 signaling pathway",71,2,0.5925341096999
"path:mmu04120","Ubiquitin mediated proteolysis",138,2,0.901268247372304
"path:mmu04122","Sulfur relay system",8,0,1
"path:mmu04130","SNARE interactions in vesicular transport",33,0,1
"path:mmu04136","Autophagy - other",32,0,1
"path:mmu04137","Mitophagy - animal",63,0,1
"path:mmu04140","Autophagy - animal",138,2,0.901268247372304
"path:mmu04141","Protein processing in endoplasmic reticulum",164,2,0.946043593609256
"path:mmu04142","Lysosome",124,2,0.864656140503798
"path:mmu04144","Endocytosis",269,4,0.945561510808008
"path:mmu04145","Phagosome",180,13,0.00152147870695315
"path:mmu04146","Peroxisome",84,1,0.907773589758173
"path:mmu04150","mTOR signaling pathway",154,5,0.428410275858132
"path:mmu04151","PI3K-Akt signaling pathway",355,15,0.0704554964257396
"path:mmu04152","AMPK signaling pathway",126,1,0.972240087993437
"path:mmu04210","Apoptosis",136,1,0.979160729783846
"path:mmu04211","Longevity regulating pathway",90,0,1
"path:mmu04213","Longevity regulating pathway - multiple species",62,1,0.827433785191586
"path:mmu04215","Apoptosis - multiple species",32,0,1
"path:mmu04216","Ferroptosis",41,1,0.686649951712566
"path:mmu04217","Necroptosis",176,3,0.872937503128763
"path:mmu04218","Cellular senescence",185,3,0.893439055731395
"path:mmu04260","Cardiac muscle contraction",86,7,0.00988123576886963
"path:mmu04261","Adrenergic signaling in cardiomyocytes",152,8,0.061730932899327
"path:mmu04270","Vascular smooth muscle contraction",140,5,0.350708549810309
"path:mmu04310","Wnt signaling pathway",162,12,0.00185085430288804
"path:mmu04330","Notch signaling pathway",54,1,0.783366177463572
"path:mmu04340","Hedgehog signaling pathway",47,1,0.735714069974424
"path:mmu04350","TGF-beta signaling pathway",95,6,0.048895535756168
"path:mmu04360","Axon guidance",180,7,0.235846731519764
"path:mmu04370","VEGF signaling pathway",58,4,0.0774682850754554
"path:mmu04371","Apelin signaling pathway",137,5,0.334078022890597
"path:mmu04380","Osteoclast differentiation",128,11,0.000856343484910567
"path:mmu04390","Hippo signaling pathway",154,13,0.000351041648477925
"path:mmu04392","Hippo signaling pathway - multiple species",26,2,0.162578217706941
"path:mmu04510","Focal adhesion",199,12,0.00960884927339334
"path:mmu04512","ECM-receptor interaction",88,6,0.0356958733929206
"path:mmu04514","Cell adhesion molecules (CAMs)",171,11,0.00817523033391938
"path:mmu04520","Adherens junction",71,5,0.0473451138216179
"path:mmu04530","Tight junction",166,8,0.0919664621141154
"path:mmu04540","Gap junction",86,4,0.217626373857639
"path:mmu04550","Signaling pathways regulating pluripotency of stem cells",138,11,0.00158702302355566
"path:mmu04610","Complement and coagulation cascades",93,4,0.259863921981114
"path:mmu04611","Platelet activation",125,3,0.68137306099755
"path:mmu04612","Antigen processing and presentation",91,7,0.0132515650434056
"path:mmu04614","Renin-angiotensin system",36,0,1
"path:mmu04620","Toll-like receptor signaling pathway",99,5,0.14176176988897
"path:mmu04621","NOD-like receptor signaling pathway",209,3,0.934403007636504
"path:mmu04622","RIG-I-like receptor signaling pathway",68,0,1
"path:mmu04623","Cytosolic DNA-sensing pathway",64,3,0.263435820052861
"path:mmu04625","C-type lectin receptor signaling pathway",112,8,0.0127302226396234
"path:mmu04630","JAK-STAT signaling pathway",165,6,0.311446430039119
"path:mmu04640","Hematopoietic cell lineage",95,13,2.0079987750686e-06
"path:mmu04650","Natural killer cell mediated cytotoxicity",117,8,0.0162335351117809
"path:mmu04657","IL-17 signaling pathway",91,8,0.00373591602170694
"path:mmu04658","Th1 and Th2 cell differentiation",87,9,0.000670026721034431
"path:mmu04659","Th17 cell differentiation",102,11,0.000118269384867597
"path:mmu04660","T cell receptor signaling pathway",103,11,0.000129210996868361
"path:mmu04662","B cell receptor signaling pathway",82,2,0.670836279327918
"path:mmu04664","Fc epsilon RI signaling pathway",67,1,0.850315494134359
"path:mmu04666","Fc gamma R-mediated phagocytosis",90,4,0.241545430564578
"path:mmu04668","TNF signaling pathway",113,7,0.0380476437695978
"path:mmu04670","Leukocyte transendothelial migration",115,2,0.834955390336087
"path:mmu04672","Intestinal immune network for IgA production",42,2,0.327252177234547
"path:mmu04710","Circadian rhythm",30,1,0.571964612165599
"path:mmu04713","Circadian entrainment",98,5,0.137512609498648
"path:mmu04714","Thermogenesis",230,3,0.957807021635402
"path:mmu04720","Long-term potentiation",67,2,0.560825050223411
"path:mmu04721","Synaptic vesicle cycle",77,2,0.636852374179754
"path:mmu04722","Neurotrophin signaling pathway",121,1,0.967964585473886
"path:mmu04723","Retrograde endocannabinoid signaling",148,3,0.785653325232372
"path:mmu04724","Glutamatergic synapse",113,6,0.0951023994136423
"path:mmu04725","Cholinergic synapse",112,3,0.6077311661635
"path:mmu04726","Serotonergic synapse",131,2,0.884290233646671
"path:mmu04727","GABAergic synapse",89,5,0.101992038697713
"path:mmu04728","Dopaminergic synapse",134,4,0.515558058723181
"path:mmu04730","Long-term depression",61,1,0.822455516366015
"path:mmu04740","Olfactory transduction",1133,1,0.999999999999999
"path:mmu04742","Taste transduction",88,0,1
"path:mmu04744","Phototransduction",27,0,1
"path:mmu04750","Inflammatory mediator regulation of TRP channels",127,4,0.473539721914052
"path:mmu04810","Regulation of actin cytoskeleton",216,5,0.723957159541093
"path:mmu04910","Insulin signaling pathway",139,3,0.748690049142468
"path:mmu04911","Insulin secretion",86,2,0.696139247777821
"path:mmu04912","GnRH signaling pathway",90,3,0.460144132575098
"path:mmu04913","Ovarian steroidogenesis",57,2,0.474155194734707
"path:mmu04914","Progesterone-mediated oocyte maturation",90,1,0.922281726632696
"path:mmu04915","Estrogen signaling pathway",134,4,0.515558058723181
"path:mmu04916","Melanogenesis",100,9,0.00181796692877736
"path:mmu04917","Prolactin signaling pathway",72,5,0.0497740952916997
"path:mmu04918","Thyroid hormone synthesis",73,0,1
"path:mmu04919","Thyroid hormone signaling pathway",118,3,0.643055445942694
"path:mmu04920","Adipocytokine signaling pathway",71,3,0.316871798071479
"path:mmu04921","Oxytocin signaling pathway",153,7,0.134710894564395
"path:mmu04922","Glucagon signaling pathway",104,3,0.557174725553025
"path:mmu04923","Regulation of lipolysis in adipocytes",56,2,0.464934705596583
"path:mmu04924","Renin secretion",76,2,0.629735794126638
"path:mmu04925","Aldosterone synthesis and secretion",101,2,0.777048201624321
"path:mmu04926","Relaxin signaling pathway",129,4,0.485690569804007
"path:mmu04927","Cortisol synthesis and secretion",69,1,0.858598159149791
"path:mmu04928","Parathyroid hormone synthesis, secretion and action",107,4,0.34792995472931
"path:mmu04929","GnRH secretion",63,1,0.832273028590333
"path:mmu04930","Type II diabetes mellitus",48,2,0.387988813916845
"path:mmu04931","Insulin resistance",110,6,0.0861744941638967
"path:mmu04932","Non-alcoholic fatty liver disease (NAFLD)",150,5,0.406289666674174
"path:mmu04933","AGE-RAGE signaling pathway in diabetic complications",101,6,0.0623241897714626
"path:mmu04934","Cushing syndrome",159,10,0.0132591920425726
"path:mmu04935","Growth hormone synthesis, secretion and action",116,3,0.631533293939939
"path:mmu04940","Type I diabetes mellitus",70,6,0.0129974044983853
"path:mmu04950","Maturity onset diabetes of the young",27,0,1
"path:mmu04960","Aldosterone-regulated sodium reabsorption",38,0,1
"path:mmu04961","Endocrine and other factor-regulated calcium reabsorption",60,2,0.501232424435403
"path:mmu04962","Vasopressin-regulated water reabsorption",43,0,1
"path:mmu04964","Proximal tubule bicarbonate reclamation",22,1,0.463118163987302
"path:mmu04966","Collecting duct acid secretion",27,0,1
"path:mmu04970","Salivary secretion",78,1,0.890570425663458
"path:mmu04971","Gastric acid secretion",74,3,0.339892695683551
"path:mmu04972","Pancreatic secretion",108,0,1
"path:mmu04973","Carbohydrate digestion and absorption",46,2,0.367978683636713
"path:mmu04974","Protein digestion and absorption",94,2,0.741930519556305
"path:mmu04975","Fat digestion and absorption",40,1,0.677632953308116
"path:mmu04976","Bile secretion",72,1,0.870174072587975
"path:mmu04977","Vitamin digestion and absorption",24,1,0.492673411273065
"path:mmu04978","Mineral absorption",52,1,0.770699855934303
"path:mmu04979","Cholesterol metabolism",49,3,0.155310203915491
"path:mmu05010","Alzheimer disease",173,5,0.530331890315361
"path:mmu05012","Parkinson disease",142,3,0.761542057130225
"path:mmu05014","Amyotrophic lateral sclerosis (ALS)",52,2,0.427133451650309
"path:mmu05016","Huntington disease",193,2,0.973120028027259
"path:mmu05020","Prion diseases",34,4,0.0141117986666289
"path:mmu05030","Cocaine addiction",48,2,0.387988813916845
"path:mmu05031","Amphetamine addiction",69,6,0.0121579180884596
"path:mmu05032","Morphine addiction",91,0,1
"path:mmu05033","Nicotine addiction",40,2,0.306618348471707
"path:mmu05034","Alcoholism",201,2,0.977899235499088
"path:mmu05100","Bacterial invasion of epithelial cells",73,1,0.873818999021607
"path:mmu05132","Salmonella infection",75,5,0.0574942698334639
"path:mmu05133","Pertussis",76,5,0.0602120885858469
"path:mmu05134","Legionellosis",60,4,0.0853816020836727
"path:mmu05135","Yersinia infection",121,6,0.121215193386016
"path:mmu05140","Leishmaniasis",69,5,0.0427031291140186
"path:mmu05142","Chagas disease (American trypanosomiasis)",102,6,0.0647546772032679
"path:mmu05143","African trypanosomiasis",38,4,0.020609290229228
"path:mmu05144","Malaria",56,10,2.68332355064028e-06
"path:mmu05145","Toxoplasmosis",108,5,0.182423856331503
"path:mmu05146","Amoebiasis",107,6,0.0777320480328999
"path:mmu05150","Staphylococcus aureus infection",122,3,0.665334856073111
"path:mmu05152","Tuberculosis",178,12,0.00403125980720543
"path:mmu05160","Hepatitis C",160,4,0.655834146737346
"path:mmu05161","Hepatitis B",162,2,0.943434098300939
"path:mmu05162","Measles",144,8,0.0476952943666412
"path:mmu05163","Human cytomegalovirus infection",255,6,0.719404037745044
"path:mmu05164","Influenza A",166,5,0.493573653995323
"path:mmu05165","Human papillomavirus infection",361,20,0.00255866234747861
"path:mmu05166","Human T-cell leukemia virus 1 infection",246,8,0.378086549195674
"path:mmu05167","Kaposi sarcoma-associated herpesvirus infection",216,6,0.560870015857849
"path:mmu05168","Herpes simplex virus 1 infection",436,19,0.0349170891068554
"path:mmu05169","Epstein-Barr virus infection",229,4,0.88605600804557
"path:mmu05170","Human immunodeficiency virus 1 infection",238,8,0.344160940659962
"path:mmu05200","Pathways in cancer",539,28,0.000999311126827328
"path:mmu05202","Transcriptional misregulation in cancer",183,7,0.248410676121032
"path:mmu05203","Viral carcinogenesis",231,2,0.98951598935601
"path:mmu05204","Chemical carcinogenesis",95,6,0.048895535756168
"path:mmu05205","Proteoglycans in cancer",205,13,0.00472851185940759
"path:mmu05206","MicroRNAs in cancer",303,8,0.612083888202876
"path:mmu05210","Colorectal cancer",88,6,0.0356958733929206
"path:mmu05211","Renal cell carcinoma",68,3,0.293883111025051
"path:mmu05212","Pancreatic cancer",76,2,0.629735794126638
"path:mmu05213","Endometrial cancer",58,5,0.0221998785705421
"path:mmu05214","Glioma",74,2,0.615179554746545
"path:mmu05215","Prostate cancer",99,4,0.297230084220699
"path:mmu05216","Thyroid cancer",37,3,0.082905077419005
"path:mmu05217","Basal cell carcinoma",63,9,5.51938855151669e-05
"path:mmu05218","Melanoma",72,3,0.324546031324734
"path:mmu05219","Bladder cancer",41,5,0.0053076893693442
"path:mmu05220","Chronic myeloid leukemia",76,0,1
"path:mmu05221","Acute myeloid leukemia",70,5,0.0449881848536827
"path:mmu05222","Small cell lung cancer",92,3,0.474591443583038
"path:mmu05223","Non-small cell lung cancer",66,1,0.845994741240166
"path:mmu05224","Breast cancer",147,13,0.000222035812042705
"path:mmu05225","Hepatocellular carcinoma",172,11,0.00852537335645889
"path:mmu05226","Gastric cancer",150,11,0.00306822552360096
"path:mmu05230","Central carbon metabolism in cancer",67,2,0.560825050223411
"path:mmu05231","Choline metabolism in cancer",98,4,0.290948536166892
"path:mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",88,10,0.000155848958749193
"path:mmu05310","Asthma",24,0,1
"path:mmu05320","Autoimmune thyroid disease",78,1,0.890570425663458
"path:mmu05321","Inflammatory bowel disease (IBD)",60,4,0.0853816020836727
"path:mmu05322","Systemic lupus erythematosus",142,3,0.761542057130225
"path:mmu05323","Rheumatoid arthritis",86,8,0.00262621552302742
"path:mmu05330","Allograft rejection",63,2,0.527400694469301
"path:mmu05332","Graft-versus-host disease",65,5,0.0342759683418952
"path:mmu05340","Primary immunodeficiency",36,6,0.000422823616139882
"path:mmu05410","Hypertrophic cardiomyopathy (HCM)",91,6,0.0410324964075308
"path:mmu05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)",77,4,0.166594975599795
"path:mmu05414","Dilated cardiomyopathy (DCM)",94,6,0.0468487694927792
"path:mmu05416","Viral myocarditis",88,1,0.917717704889824
"path:mmu05418","Fluid shear stress and atherosclerosis",144,9,0.019029195830733
