"","Term","Ont","N","DE","P.DE"
"78","response to stress","BP",3621,127,6.76321978953859e-07
"79","hematopoietic or lymphoid organ development","BP",971,48,7.53294562726316e-07
"80","regulation of phosphorus metabolic process","BP",1687,71,7.58186815638751e-07
"81","positive regulation of cellular biosynthetic process","BP",1887,77,8.11722202094826e-07
"82","positive regulation of biosynthetic process","BP",1927,78,9.31640906874895e-07
"83","positive regulation of chemotaxis","BP",140,15,9.38965565183423e-07
"84","positive regulation of phosphorylation","BP",1042,50,1.04302944675782e-06
"85","positive regulation of protein phosphorylation","BP",988,48,1.22688753792041e-06
"86","positive regulation of response to external stimulus","BP",313,23,1.28986814826607e-06
"87","organic substance metabolic process","BP",9966,286,1.3140389868688e-06
"88","response to chemical","BP",4115,139,1.42273239718061e-06
"89","positive regulation of macromolecule biosynthetic process","BP",1783,73,1.4401192262165e-06
"90","regulation of transcription, DNA-templated","BP",2776,102,1.48534816807449e-06
"91","regulation of phosphate metabolic process","BP",1686,70,1.48632766473158e-06
"92","positive regulation of transcription, DNA-templated","BP",1524,65,1.49338306769462e-06
"93","negative regulation of signaling","BP",1302,58,1.50841017605736e-06
"94","positive regulation of nucleic acid-templated transcription","BP",1527,65,1.59573998537838e-06
"95","regulation of biological process","BP",11480,321,1.60635800174523e-06
"96","positive regulation of RNA biosynthetic process","BP",1528,65,1.63129818946342e-06
"97","regulation of nucleic acid-templated transcription","BP",2783,102,1.66430288158968e-06
"98","regulation of metabolic process","BP",5923,186,1.67858568943109e-06
"99","regulation of body fluid levels","BP",342,24,1.71695380315999e-06
"100","myeloid leukocyte migration","BP",207,18,1.74152201452177e-06
"101","generation of neurons","BP",1665,69,1.89965745992079e-06
"102","regulation of RNA biosynthetic process","BP",2792,102,1.92443089487596e-06
"103","response to wounding","BP",495,30,1.9301636575768e-06
"104","movement of cell or subcellular component","BP",1998,79,1.93689448539002e-06
"105","positive regulation of gene expression","BP",1965,78,1.95985293117348e-06
"106","calcium-mediated signaling","BP",209,18,1.9990242569405e-06
"107","morphogenesis of an epithelium","BP",550,32,2.09903692105172e-06
"108","secretion","BP",1224,55,2.21262826984387e-06
"109","hemopoiesis","BP",920,45,2.2379266514372e-06
"110","regulation of transport","BP",1939,77,2.26557856559109e-06
"111","epithelium development","BP",1164,53,2.33073796253335e-06
"112","regulation of intracellular signal transduction","BP",1708,70,2.34430799131141e-06
"113","nervous system development","BP",2318,88,2.46656217195705e-06
"114","positive regulation of peptidyl-tyrosine phosphorylation","BP",192,17,2.6293839581298e-06
"115","intracellular signal transduction","BP",2605,96,2.85306530643011e-06
"116","second-messenger-mediated signaling","BP",427,27,2.86920332974327e-06
"117","negative regulation of cell communication","BP",1298,57,2.89498739346027e-06
"118","cell motility","BP",1588,66,2.9513930868606e-06
"119","localization of cell","BP",1588,66,2.9513930868606e-06
"120","metabolic process","BP",10435,295,3.08900019810703e-06
"121","regulation of phosphorylation","BP",1528,64,3.28833035716165e-06
"122","regulation of angiogenesis","BP",307,22,3.29308614866387e-06
"123","regulation of biological quality","BP",4031,135,3.39165758780205e-06
"124","regulation of epithelial cell proliferation","BP",357,24,3.6111915009301e-06
"125","immune system development","BP",1029,48,3.74379561466659e-06
"126","neurogenesis","BP",1768,71,4.01336884450328e-06
"127","negative regulation of biological process","BP",5265,167,4.26407509351954e-06
"128","negative regulation of developmental process","BP",1068,49,4.6485254211451e-06
"129","regulation of cell proliferation","BP",1643,67,4.66059167592088e-06
"130","positive regulation of response to stimulus","BP",2286,86,4.6733362890829e-06
"131","regulation of molecular function","BP",2461,91,4.75378994916688e-06
"132","regulation of anatomical structure morphogenesis","BP",1069,49,4.76800809338198e-06
"133","regulation of cellular process","BP",10737,301,4.77572398890226e-06
"134","regulation of vasculature development","BP",340,23,5.18304574648406e-06
"135","neurotransmitter biosynthetic process","BP",104,12,5.28417111198868e-06
"136","positive regulation of nucleobase-containing compound metabolic process","BP",1817,72,5.42084934094166e-06
"137","negative regulation of signal transduction","BP",1168,52,5.51403413447282e-06
"138","negative regulation of cellular process","BP",4673,151,5.53162162697636e-06
"139","primary metabolic process","BP",9405,269,5.74691919885219e-06
"140","granulocyte chemotaxis","BP",123,13,5.77078943312565e-06
"141","regulation of response to stress","BP",1331,57,6.14607139442782e-06
"142","positive regulation of cytokine production","BP",445,27,6.14876637312206e-06
"143","positive regulation of RNA metabolic process","BP",1624,66,6.17451438164629e-06
"144","transcription, DNA-templated","BP",2868,102,6.2683352739174e-06
"145","cellular metabolic process","BP",9331,267,6.28956731664218e-06
"146","immune system process","BP",2655,96,6.33529576850328e-06
"147","regulation of primary metabolic process","BP",5224,165,6.48196218557023e-06
"148","animal organ morphogenesis","BP",1082,49,6.60461476184149e-06
"149","regulation of biosynthetic process","BP",3526,120,6.6719065003619e-06
"150","cytokine production","BP",752,38,6.7282659184533e-06
"151","regulation of catalytic activity","BP",1795,71,6.74692514978966e-06
"152","regulation of cellular biosynthetic process","BP",3455,118,6.90369717879526e-06
"153","nucleic acid-templated transcription","BP",2875,102,6.96066195544185e-06
"154","regulation of protein phosphorylation","BP",1407,59,7.91028043986421e-06
"155","mammary gland alveolus development","BP",22,6,8.17206723004561e-06
"156","mammary gland lobule development","BP",22,6,8.17206723004561e-06
"157","RNA biosynthetic process","BP",2888,102,8.44086270594082e-06
"158","neurotransmitter metabolic process","BP",147,14,8.6312123518486e-06
"159","regulation of transcription by RNA polymerase II","BP",1980,76,9.00488384327348e-06
"160","regulation of cytokine production","BP",676,35,9.30820453911446e-06
"161","epithelial tube morphogenesis","BP",378,24,9.4859782961357e-06
"162","secretion by cell","BP",1067,48,9.79772145601119e-06
"163","cell proliferation","BP",1985,76,9.83696602982003e-06
"164","positive regulation of cytokine secretion","BP",149,14,1.00868800885794e-05
"165","regulation of leukocyte chemotaxis","BP",111,12,1.04120254122537e-05
"166","positive regulation of molecular function","BP",1421,59,1.06286758589265e-05
"167","regulation of inflammatory response","BP",356,23,1.09661265955282e-05
"168","enzyme linked receptor protein signaling pathway","BP",888,42,1.10809908577748e-05
"169","negative regulation of transcription, DNA-templated","BP",1170,51,1.2104512747005e-05
"170","defense response","BP",1594,64,1.26266531869435e-05
"171","myeloid leukocyte differentiation","BP",216,17,1.27012613714595e-05
"172","negative regulation of nucleic acid-templated transcription","BP",1174,51,1.32669228621671e-05
"173","negative regulation of RNA biosynthetic process","BP",1175,51,1.35732413014755e-05
"174","multicellular organismal process","BP",8175,237,1.4143557340043e-05
"175","heterocycle biosynthetic process","BP",3362,114,1.43185853989483e-05
"176","chemical homeostasis","BP",1179,51,1.48651224942666e-05
"177","regulation of RNA metabolic process","BP",3038,105,1.53348043901661e-05
"178","aromatic compound biosynthetic process","BP",3374,114,1.6793298863976e-05
"179","peptidyl-tyrosine phosphorylation","BP",316,21,1.72649016118669e-05
"180","positive regulation of epithelial cell proliferation","BP",199,16,1.74452415197925e-05
"181","extracellular structure organization","BP",317,21,1.80984896822455e-05
"182","regulation of leukocyte differentiation","BP",294,20,1.94948829162972e-05
"183","organic cyclic compound biosynthetic process","BP",3497,117,1.96835691325341e-05
"184","regulation of leukocyte migration","BP",201,16,1.97469510025305e-05
"185","peptidyl-tyrosine modification","BP",319,21,1.98751320682122e-05
"186","regulation of morphogenesis of a branching structure","BP",67,9,2.32738091193668e-05
"187","transcription by RNA polymerase II","BP",2038,76,2.43326373741647e-05
"188","biosynthetic process","BP",5111,159,2.44641901493746e-05
"189","nucleobase-containing compound biosynthetic process","BP",3298,111,2.64340096981172e-05
"190","cellular biosynthetic process","BP",4925,154,2.66150185298123e-05
"191","regulation of macromolecule biosynthetic process","BP",3299,111,2.67806775952861e-05
"192","regulation of nucleobase-containing compound metabolic process","BP",3337,112,2.71656526400267e-05
"193","cytokine metabolic process","BP",122,12,2.72284135048207e-05
"194","positive regulation of protein modification process","BP",1208,51,2.82179871735502e-05
"195","positive regulation of hemopoiesis","BP",208,16,3.00709128859361e-05
"196","regulation of hemopoiesis","BP",406,24,3.04634934134454e-05
"197","positive regulation of leukocyte migration","BP",144,13,3.1802664722726e-05
"198","positive regulation of leukocyte chemotaxis","BP",87,10,3.31341076997238e-05
"199","regulation of cellular macromolecule biosynthetic process","BP",3208,108,3.4538606196013e-05
"200","homeostatic process","BP",1887,71,3.4941762871249e-05
"201","artery development","BP",106,11,3.55819823384604e-05
"202","regulation of cytokine biosynthetic process","BP",106,11,3.55819823384604e-05
"203","regulation of macromolecule metabolic process","BP",5459,167,3.56849369983114e-05
"204","granulocyte migration","BP",146,13,3.67736317332132e-05
"205","positive regulation of cytokine biosynthetic process","BP",71,9,3.73480050051604e-05
"206","regulation of cytokine secretion","BP",212,16,3.79039298098599e-05
"207","wound healing","BP",360,22,3.94875511464644e-05
"208","regulation of peptidyl-tyrosine phosphorylation","BP",260,18,3.99507947296637e-05
"209","regulation of nitrogen compound metabolic process","BP",5080,157,4.02528384085101e-05
"210","positive regulation of cell proliferation","BP",971,43,4.14351123474971e-05
"211","macrophage migration","BP",56,8,4.20604766536815e-05
"212","regulation of defense response","BP",639,32,4.26713029899203e-05
"213","negative regulation of RNA metabolic process","BP",1262,52,4.44330815958803e-05
"214","positive regulation of signal transduction","BP",1496,59,4.68001546337526e-05
"215","negative regulation of cellular biosynthetic process","BP",1464,58,4.8057922178154e-05
"216","MAPK cascade","BP",793,37,4.93120011486964e-05
"217","signal transduction","BP",6009,180,5.16255001981479e-05
"218","negative regulation of biosynthetic process","BP",1502,59,5.23263930402904e-05
"219","regulation of fever generation","BP",10,4,5.34878442094107e-05
"220","macrophage chemotaxis","BP",43,7,5.38103956496353e-05
"221","regulation of MAPK cascade","BP",737,35,5.54212116404787e-05
"222","lymphocyte differentiation","BP",395,23,5.58763394036194e-05
"223","positive regulation of locomotion","BP",590,30,5.60207745496722e-05
"224","transport","BP",4378,138,5.66602445923438e-05
"225","negative regulation of macromolecule biosynthetic process","BP",1407,56,5.76846456958959e-05
"226","positive regulation of transport","BP",1081,46,5.83773594662693e-05
"227","regulation of cell death","BP",1679,64,6.02523473668114e-05
"228","T cell differentiation","BP",269,18,6.21414411439962e-05
"229","lipid metabolic process","BP",1247,51,6.36549638186595e-05
"230","artery morphogenesis","BP",76,9,6.44963482488699e-05
"231","organic substance biosynthetic process","BP",5017,154,7.03692075135921e-05
"232","inorganic ion homeostasis","BP",746,35,7.05166188657347e-05
"233","signal transduction by protein phosphorylation","BP",810,37,7.62937621999302e-05
"234","cellular response to stimulus","BP",7788,223,7.66275005347796e-05
"235","positive regulation of protein secretion","BP",300,19,8.18268741707852e-05
"236","positive regulation of protein transport","BP",433,24,8.36818903475178e-05
"237","positive regulation of protein metabolic process","BP",1630,62,8.40096438254702e-05
"238","positive regulation of intracellular signal transduction","BP",1003,43,8.63632000330263e-05
"239","regulation of nervous system development","BP",1067,45,8.63925122986243e-05
"240","cell communication","BP",6625,194,8.74874862975552e-05
"241","negative regulation of nitrogen compound metabolic process","BP",2262,80,8.88820985961005e-05
"242","regulation of secretion","BP",910,40,9.00700074072641e-05
"243","metal ion homeostasis","BP",665,32,9.01263812223607e-05
"244","T cell activation","BP",491,26,9.06284873741381e-05
"245","ossification","BP",381,22,9.10068387114682e-05
"246","developmental maturation","BP",303,19,9.32879136171708e-05
"247","regulation of hydrolase activity","BP",975,42,9.39975914123439e-05
"248","positive regulation of peptide secretion","BP",329,20,9.41241464731307e-05
"249","cytokine biosynthetic process","BP",118,11,9.54694808505628e-05
"250","cellular macromolecule metabolic process","BP",7080,205,9.61279669491939e-05
"251","positive regulation of epithelial to mesenchymal transition","BP",47,7,9.69532043179866e-05
"252","signaling","BP",6556,192,9.70667849907659e-05
"253","nitrogen compound metabolic process","BP",8892,249,9.82672106915463e-05
"254","positive regulation of neurogenesis","BP",580,29,9.94242874728135e-05
"255","positive regulation of catalytic activity","BP",1045,44,0.000107415231373246
"256","cation homeostasis","BP",732,34,0.000108178670348164
"257","regulation of animal organ morphogenesis","BP",208,15,0.000109689390421208
"258","establishment of localization","BP",4518,140,0.000111120871882148
"259","brown fat cell differentiation","BP",48,7,0.000111262359533705
"260","regulation of neurogenesis","BP",951,41,0.000111829179775324
"261","cellular response to chemical stimulus","BP",3008,100,0.000115864064863936
"262","organonitrogen compound metabolic process","BP",6215,183,0.000116441893763942
"263","negative regulation of cytokine production","BP",258,17,0.000118913833099055
"264","glossopharyngeal nerve development","BP",5,3,0.000119329931330284
"265","positive regulation of cell motility","BP",558,28,0.000122920752973467
"266","heat generation","BP",22,5,0.000124320475304582
"267","peptide secretion","BP",648,31,0.000128455735002068
"268","positive regulation of inflammatory response","BP",143,12,0.000128560509175508
"269","endothelial cell proliferation","BP",143,12,0.000128560509175508
"270","regulation of gene expression","BP",3843,122,0.00013037692872501
"271","regulation of cell development","BP",1088,45,0.000134459978844333
"272","neuron differentiation","BP",1489,57,0.000139415854755562
"273","positive regulation of nervous system development","BP",651,31,0.000139439861560889
"274","regulation of tissue remodeling","BP",84,9,0.000141524613455594
"275","negative regulation of cellular metabolic process","BP",2440,84,0.000144254319206223
"276","positive regulation of cellular protein metabolic process","BP",1525,58,0.000144279941948641
"277","regulation of granulocyte chemotaxis","BP",50,7,0.000145031747762614
"278","regulation of cell adhesion","BP",684,32,0.000150660582322135
"279","positive regulation of cell migration","BP",536,27,0.000151892676610759
"280","cell morphogenesis","BP",1094,45,0.000152080655025052
"281","positive regulation of leukocyte differentiation","BP",168,13,0.000154859322328622
"282","cell activation","BP",1095,45,0.000155212835976732
"283","positive regulation of establishment of protein localization","BP",452,24,0.000160538225313841
"284","cell-cell adhesion","BP",718,33,0.000165328298835066
"285","ion homeostasis","BP",811,36,0.000166811017884002
"286","positive regulation of cell development","BP",658,31,0.000168413545826158
"287","fever generation","BP",13,4,0.000172296547326297
"288","regulation of neurotransmitter levels","BP",372,21,0.000178193955988391
"289","regulation of immune system process","BP",1470,56,0.000180859330038754
"290","regulation of epithelial to mesenchymal transition","BP",87,9,0.00018547264123334
"291","cytokine secretion","BP",243,16,0.000188427552801351
"292","negative regulation of cellular macromolecule biosynthetic process","BP",1372,53,0.000192930189454945
"293","positive regulation of DNA-binding transcription factor activity","BP",244,16,0.000197436685403466
"294","gland morphogenesis","BP",150,12,0.000201720148389509
"295","positive regulation of cellular component movement","BP",575,28,0.000201824423885246
"296","response to hormone","BP",696,32,0.000205652477318633
"297","regulation of endothelial cell proliferation","BP",129,11,0.000211349723367172
"298","calcium ion homeostasis","BP",490,25,0.000217726472281845
"299","positive regulation of MAPK cascade","BP",519,26,0.000218122190674436
"300","positive regulation of transcription by RNA polymerase II","BP",1213,48,0.000225818500456759
"301","muscle structure development","BP",700,32,0.000227622664359289
"302","mammary gland branching involved in pregnancy","BP",6,3,0.000234545515439205
"303","fat-soluble vitamin biosynthetic process","BP",14,4,0.000236807474259236
"304","divalent inorganic cation homeostasis","BP",522,26,0.000238486668650528
"305","transmembrane receptor protein tyrosine kinase signaling pathway","BP",552,27,0.000243131251105848
"306","cell fate commitment","BP",275,17,0.000253970749168962
"307","negative regulation of nucleobase-containing compound metabolic process","BP",1388,53,0.000255562614072228
"308","positive regulation of cell adhesion","BP",410,22,0.00025718638070974
"309","regulation of secretion by cell","BP",830,36,0.000259666506961949
"310","gland development","BP",467,24,0.000260167486428268
"311","positive regulation of endothelial cell proliferation","BP",91,9,0.000261214636184332
"312","cellular divalent inorganic cation homeostasis","BP",498,25,0.000277807708438388
"313","regulation of programmed cell death","BP",1531,57,0.000283510037363634
"314","regulation of peptide secretion","BP",528,26,0.00028433541719361
"315","positive regulation of macrophage migration","BP",26,5,0.000287674987125981
"316","blood coagulation","BP",156,12,0.000290195654524139
"317","cell death","BP",2061,72,0.000296869733199472
"318","regulation of heat generation","BP",15,4,0.000317023236431654
"319","regulation of vitamin metabolic process","BP",15,4,0.000317023236431654
"320","cellular calcium ion homeostasis","BP",474,24,0.000323008785926724
"321","hemostasis","BP",158,12,0.000326191061945288
"322","negative regulation of transport","BP",534,26,0.000337815298035047
"323","acute-phase response","BP",41,6,0.000339106597262702
"324","regulation of macrophage migration","BP",41,6,0.000339106597262702
"325","coagulation","BP",159,12,0.00034556253577515
"326","negative regulation of response to external stimulus","BP",336,19,0.000349315624722685
"327","regulation of apoptotic process","BP",1510,56,0.000353061079664508
"328","cell-substrate adhesion","BP",337,19,0.000362408921075797
"329","reproductive structure development","BP",449,23,0.000363293666368271
"330","nitric oxide biosynthetic process","BP",76,8,0.000372669671511814
"331","cellular nitrogen compound biosynthetic process","BP",3981,123,0.00037407301266393
"332","cytokine-mediated signaling pathway","BP",338,19,0.000375927128514446
"333","renin secretion into blood stream","BP",7,3,0.000403386818813287
"334","positive regulation of long-term neuronal synaptic plasticity","BP",7,3,0.000403386818813287
"335","regulation of calcidiol 1-monooxygenase activity","BP",7,3,0.000403386818813287
"336","reproductive system development","BP",453,23,0.000411131966207123
"337","lymph vessel development","BP",28,5,0.000413707520044201
"338","branching involved in mammary gland duct morphogenesis","BP",28,5,0.000413707520044201
"339","protein secretion","BP",603,28,0.000432330658814047
"340","regulation of hemostasis","BP",78,8,0.000445105211959771
"341","aminoglycan metabolic process","BP",98,9,0.000454795596570409
"342","regulation of bone remodeling","BP",60,7,0.000459517314109534
"343","actin filament organization","BP",400,21,0.00046922633761987
"344","positive regulation of neuron differentiation","BP",458,23,0.000478626496433113
"345","response to organic substance","BP",3055,98,0.000486151675686045
"346","positive regulation of myeloid cell differentiation","BP",99,9,0.000490200947637217
"347","branching involved in blood vessel morphogenesis","BP",44,6,0.00050206094230879
"348","negative regulation of macromolecule metabolic process","BP",2574,85,0.000502999244010728
"349","regulation of protein secretion","BP",489,24,0.000504283068644265
"350","cellular lipid metabolic process","BP",926,38,0.000515263961164075
"351","reactive oxygen species biosynthetic process","BP",121,10,0.000520582015202845
"352","negative regulation of cell differentiation","BP",798,34,0.000524775179121789
"353","nitric oxide metabolic process","BP",80,8,0.0005285668093875
"354","glycosaminoglycan metabolic process","BP",80,8,0.0005285668093875
"355","positive regulation of transforming growth factor beta production","BP",17,4,0.000532780966046793
"356","histamine biosynthetic process","BP",2,2,0.000535392768510058
"357","regulation of hormone levels","BP",551,26,0.000540515509794733
"358","mesenchymal cell differentiation","BP",216,14,0.000545365760373349
"359","tissue remodeling","BP",192,13,0.000565736353766393
"360","cranial nerve morphogenesis","BP",30,5,0.000577432057799297
"361","ERK1 and ERK2 cascade","BP",323,18,0.000587475052290205
"362","positive regulation of ERK1 and ERK2 cascade","BP",218,14,0.000597445733374293
"363","regulation of protein modification process","BP",1756,62,0.000611693981707386
"364","macromolecule metabolic process","BP",8461,233,0.000613090249673388
"365","macromolecule biosynthetic process","BP",4111,125,0.000628333801896556
"366","renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure","BP",8,3,0.000634317971232994
"367","cellular component morphogenesis","BP",1203,46,0.00063458068376015
"368","mesenchyme development","BP",272,16,0.00065579967739683
"369","regulation of vascular endothelial growth factor production","BP",31,5,0.000675485942438594
"370","regulation of macrophage chemotaxis","BP",31,5,0.000675485942438594
"371","positive regulation of immune system process","BP",1072,42,0.000676082813381004
"372","extracellular matrix organization","BP",273,16,0.000682112552506797
"373","ion transport","BP",1554,56,0.0007027721982683
"374","growth","BP",1108,43,0.000707695920645596
"375","cell maturation","BP",197,13,0.000719759233964051
"376","intracellular estrogen receptor signaling pathway","BP",47,6,0.000720258981603737
"377","positive regulation of cytosolic calcium ion concentration","BP",329,18,0.000727138348339376
"378","reactive nitrogen species metabolic process","BP",84,8,0.000733467072453116
"379","cellular macromolecule biosynthetic process","BP",4013,122,0.000748124743736451
"380","cellular ion homeostasis","BP",656,29,0.000751045694652694
"381","epithelial cell differentiation","BP",625,28,0.000752527055864787
"382","response to calcium ion","BP",127,10,0.000760899758064064
"383","regulation of system process","BP",595,27,0.000768544799556998
"384","regulation of blood pressure","BP",199,13,0.000790550740806574
"385","regulation of T cell activation","BP",304,17,0.000794586267836028
"386","canonical Wnt signaling pathway","BP",277,16,0.000796573620663088
"387","negative regulation of gene expression","BP",1775,62,0.000800511974569286
"388","positive regulation of cellular component organization","BP",1285,48,0.000801910804648066
"389","positive regulation of cell communication","BP",1847,64,0.000806658533363557
"390","regulation of interleukin-2 biosynthetic process","BP",19,4,0.000836362241079714
"391","behavior","BP",724,31,0.000843114587138133
"392","developmental process involved in reproduction","BP",788,33,0.00084456301728402
"393","regulation of ERK1 and ERK2 cascade","BP",306,17,0.000854170043224954
"394","positive regulation of signaling","BP",1853,64,0.000875334088713441
"395","immune response","BP",1640,58,0.000884574845001116
"396","anatomical structure maturation","BP",177,12,0.000900447689277927
"397","cranial nerve development","BP",49,6,0.000902144673588862
"398","vascular endothelial growth factor production","BP",33,5,0.000908295954852975
"399","fat-soluble vitamin metabolic process","BP",33,5,0.000908295954852975
"400","regulation of transferase activity","BP",824,34,0.000912718344161666
"401","positive regulation of fever generation","BP",9,3,0.000935130991786214
"402","regulation of vitamin D biosynthetic process","BP",9,3,0.000935130991786214
"403","paraxial mesoderm formation","BP",9,3,0.000935130991786214
"404","leukocyte activation","BP",990,39,0.000943385142243965
"405","regulation of response to wounding","BP",178,12,0.000945744429062109
"406","muscle cell differentiation","BP",394,20,0.000959612348178286
"407","mesoderm morphogenesis","BP",68,7,0.000984112013103172
"408","regulation of nitric oxide biosynthetic process","BP",68,7,0.000984112013103172
"409","regulation of DNA-binding transcription factor activity","BP",395,20,0.000989563229339298
"410","retinoid metabolic process","BP",50,6,0.00100538734529244
"411","embryo development","BP",1163,44,0.00102496614404363
"412","eosinophil chemotaxis","BP",20,4,0.00102643996514757
"413","multicellular organismal homeostasis","BP",485,23,0.00103696329152832
"414","regulation of protein metabolic process","BP",2675,86,0.00105561993370329
"415","regulation of sprouting angiogenesis","BP",69,7,0.0010737334521188
"416","epithelial to mesenchymal transition","BP",133,10,0.00108589783172464
"417","alpha-beta T cell activation","BP",157,11,0.00111473853786055
"418","regulation of neuron migration","BP",51,6,0.00111746762324066
"419","regulation of digestive system process","BP",51,6,0.00111746762324066
"420","response to estradiol","BP",51,6,0.00111746762324066
"421","cell surface receptor signaling pathway involved in cell-cell signaling","BP",518,24,0.00111772700864972
"422","smooth muscle contraction","BP",111,9,0.00112145636864334
"423","cellular cation homeostasis","BP",642,28,0.00112663006203539
"424","striated muscle cell differentiation","BP",314,17,0.0011321643557648
"425","positive regulation of defense response","BP",371,19,0.00114853366650765
"426","negative regulation of metabolic process","BP",2833,90,0.00115213421798975
"427","circulatory system process","BP",489,23,0.00115528113074135
"428","cellular amino acid catabolic process","BP",90,8,0.00115609422310422
"429","biomineral tissue development","BP",158,11,0.00117374549184061
"430","cell-cell signaling","BP",1589,56,0.0011749857142658
"431","myeloid cell differentiation","BP",401,20,0.00118666159046725
"432","diterpenoid metabolic process","BP",52,6,0.00123887738267732
